transaction_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,discount_amount,tax_amount,final_amount,payment_method,order_status,region,country,date,customer_segment,month,year
TXN_000030,ORD_1754,CUST_1920,PROD_273,Beauty Shampoo,Beauty,1,24.1,24.1,0.0,3.6,27.7,Debit Card,Completed,Central,Thailand,2025-03-21 16:48:46.530772,VIP,2025-03,2025
TXN_000031,ORD_0180,CUST_1289,PROD_431,Clothing Jeans,Clothing,4,82.05,328.18,0.0,39.53,367.71,Digital Wallet,Completed,West,Vietnam,2025-09-22 16:48:46.530836,Regular,2025-09,2025
TXN_000032,ORD_1471,CUST_0767,PROD_327,Beauty Shampoo,Beauty,2,28.98,57.96,0.0,3.37,61.33,Bank Transfer,Pending,South,Singapore,2025-11-06 16:48:46.530901,Regular,2025-11,2025
TXN_000033,ORD_0023,CUST_1695,PROD_464,Electronics Tablet,Electronics,3,1777.37,5332.1,0.0,469.36,5801.47,Digital Wallet,Completed,Central,Vietnam,2025-11-21 16:48:46.530967,Regular,2025-11,2025
TXN_000034,ORD_2203,CUST_1847,PROD_134,Electronics Smartphone,Electronics,2,318.1,636.2,0.0,44.17,680.37,Credit Card,Pending,Central,Singapore,2025-10-01 16:48:46.531032,Regular,2025-10,2025
TXN_000035,ORD_1507,CUST_1952,PROD_387,Food Coffee,Food,2,28.57,57.14,0.0,8.51,65.65,Bank Transfer,Completed,South,Vietnam,2025-07-02 16:48:46.531095,Regular,2025-07,2025
TXN_000036,ORD_1534,CUST_0193,PROD_047,Electronics Laptop,Electronics,4,1728.81,6915.26,0.0,461.48,7376.73,Credit Card,Shipped,North,Singapore,2024-12-22 16:48:46.531161,VIP,2024-12,2024
TXN_000037,ORD_1946,CUST_0008,PROD_498,Home & Garden Lamp,Home & Garden,1,691.34,691.34,0.0,80.59,771.93,Bank Transfer,Completed,Central,Thailand,2025-01-03 16:48:46.531226,Regular,2025-01,2025
TXN_000038,ORD_1897,CUST_0632,PROD_296,Home & Garden Lamp,Home & Garden,4,819.33,3277.32,0.0,349.11,3626.43,Digital Wallet,Completed,Central,Vietnam,2025-06-03 16:48:46.531291,Regular,2025-06,2025
TXN_000039,ORD_2747,CUST_1987,PROD_077,Home & Garden Lamp,Home & Garden,2,810.72,1621.45,0.0,144.8,1766.25,Debit Card,Completed,North,Thailand,2025-12-09 16:48:46.531356,Regular,2025-12,2025
TXN_000040,ORD_0472,CUST_0986,PROD_290,Books Comic,Books,3,13.69,41.07,0.0,2.92,43.99,Digital Wallet,Completed,North,Indonesia,2025-03-26 16:48:46.531423,Regular,2025-03,2025
TXN_000041,ORD_2742,CUST_1633,PROD_443,Sports Basketball,Sports,1,158.03,158.03,0.0,18.46,176.49,Debit Card,Completed,East,Singapore,2025-01-27 16:48:46.531490,Regular,2025-01,2025
TXN_000042,ORD_0681,CUST_0820,PROD_158,Sports Tennis Racket,Sports,1,172.75,172.75,0.0,21.21,193.96,Digital Wallet,Completed,North,Singapore,2025-01-12 16:48:46.531556,VIP,2025-01,2025
TXN_000043,ORD_0645,CUST_0203,PROD_224,Clothing Jacket,Clothing,1,104.35,104.35,0.0,7.52,111.88,Credit Card,Shipped,Central,Malaysia,2025-05-13 16:48:46.531621,Regular,2025-05,2025
TXN_000044,ORD_0295,CUST_0659,PROD_124,Electronics Smart Watch,Electronics,3,1087.29,3261.88,0.0,385.28,3647.16,Bank Transfer,Completed,Central,Singapore,2025-04-12 16:48:46.531687,Regular,2025-04,2025
TXN_000045,ORD_0091,CUST_0557,PROD_090,Electronics Smartphone,Electronics,2,795.57,1591.14,0.0,192.94,1784.08,Debit Card,Completed,Central,Vietnam,2025-02-03 16:48:46.531752,Regular,2025-02,2025
TXN_000046,ORD_2464,CUST_1491,PROD_453,Sports Tennis Racket,Sports,2,96.21,192.42,0.0,20.75,213.17,Debit Card,Completed,West,Indonesia,2025-07-28 16:48:46.531819,Loyal,2025-07,2025
TXN_000047,ORD_0636,CUST_0428,PROD_242,Beauty Makeup,Beauty,2,58.94,117.88,0.0,9.76,127.64,Debit Card,Completed,North,Indonesia,2025-04-07 16:48:46.531884,Regular,2025-04,2025
TXN_000048,ORD_1617,CUST_0706,PROD_346,Books Comic,Books,2,42.44,84.88,0.0,12.39,97.27,Digital Wallet,Shipped,South,Vietnam,2025-09-27 16:48:46.531949,Regular,2025-09,2025
TXN_000049,ORD_2790,CUST_0716,PROD_453,Food Beverages,Food,1,9.26,9.26,1.59,0.65,8.32,Debit Card,Completed,South,Indonesia,2025-06-16 16:48:46.532016,New,2025-06,2025
TXN_000050,ORD_0118,CUST_0335,PROD_201,Books Comic,Books,1,15.18,15.18,0.0,0.86,16.03,Bank Transfer,Completed,West,Indonesia,2025-02-04 16:48:46.532083,Regular,2025-02,2025
TXN_000051,ORD_2352,CUST_1389,PROD_232,Books Comic,Books,4,36.79,147.16,0.0,8.34,155.5,Bank Transfer,Pending,West,Malaysia,2025-11-06 16:48:46.532158,Regular,2025-11,2025
TXN_000052,ORD_2100,CUST_1652,PROD_080,Electronics Smart Watch,Electronics,2,1258.3,2516.61,0.0,128.23,2644.84,Digital Wallet,Completed,Central,Vietnam,2025-03-17 16:48:46.532250,Loyal,2025-03,2025
TXN_000053,ORD_0844,CUST_1950,PROD_389,Electronics Headphones,Electronics,3,1400.91,4202.73,0.0,342.0,4544.74,Debit Card,Completed,North,Vietnam,2025-03-03 16:48:46.532319,Regular,2025-03,2025
TXN_000054,ORD_0122,CUST_1360,PROD_128,Home & Garden Table,Home & Garden,2,961.4,1922.8,0.0,235.98,2158.78,Debit Card,Pending,South,Thailand,2025-07-02 16:48:46.532385,Loyal,2025-07,2025
TXN_000055,ORD_2921,CUST_0184,PROD_058,Books Fiction,Books,1,11.31,11.31,2.21,1.26,10.35,Credit Card,Completed,Central,Malaysia,2025-07-31 16:48:46.532452,Regular,2025-07,2025
TXN_000056,ORD_0813,CUST_1355,PROD_428,Clothing Dress,Clothing,1,25.85,25.85,0.0,1.92,27.77,Cash,Completed,West,Indonesia,2025-07-23 16:48:46.532517,New,2025-07,2025
TXN_000057,ORD_2707,CUST_0068,PROD_246,Sports Bike,Sports,1,59.14,59.14,0.0,4.87,64.01,Digital Wallet,Completed,South,Malaysia,2025-05-27 16:48:46.532583,New,2025-05,2025
TXN_000058,ORD_0677,CUST_1946,PROD_401,Beauty Nail Polish,Beauty,2,48.17,96.34,0.0,10.61,106.95,Debit Card,Pending,West,Thailand,2025-10-26 16:48:46.532652,Loyal,2025-10,2025
TXN_000059,ORD_0972,CUST_0059,PROD_330,Home & Garden Table,Home & Garden,1,764.18,764.18,0.0,107.65,871.83,Cash,Completed,East,Singapore,2025-08-22 16:48:46.532717,Loyal,2025-08,2025
TXN_000060,ORD_2891,CUST_1382,PROD_081,Books Magazine,Books,2,29.3,58.6,10.4,6.0,54.2,Credit Card,Completed,North,Singapore,2025-10-27 16:48:46.532784,Regular,2025-10,2025
TXN_000061,ORD_2887,CUST_0454,PROD_453,Clothing Jacket,Clothing,1,183.8,183.8,0.0,23.01,206.81,Credit Card,Shipped,East,Indonesia,2025-10-07 16:48:46.532849,New,2025-10,2025
TXN_000062,ORD_1532,CUST_0469,PROD_214,Electronics Headphones,Electronics,3,463.73,1391.18,0.0,165.73,1556.91,Debit Card,Completed,Central,Indonesia,2025-03-10 16:48:46.532914,Regular,2025-03,2025
TXN_000063,ORD_1673,CUST_1094,PROD_430,Sports Basketball,Sports,1,125.76,125.76,0.0,9.35,135.11,Cash,Completed,West,Thailand,2025-10-19 16:48:46.532978,Regular,2025-10,2025
TXN_000064,ORD_2077,CUST_0739,PROD_338,Books Textbook,Books,3,13.89,41.68,0.0,2.68,44.36,Cash,Completed,West,Singapore,2024-12-26 16:48:46.533042,Regular,2024-12,2024
TXN_000065,ORD_2538,CUST_0484,PROD_474,Food Coffee,Food,2,15.0,29.99,0.0,3.94,33.94,Bank Transfer,Delivered,North,Indonesia,2024-12-17 16:48:46.533106,New,2024-12,2024
TXN_000066,ORD_0868,CUST_0929,PROD_321,Sports Tennis Racket,Sports,4,162.59,650.36,0.0,54.57,704.93,Credit Card,Delivered,South,Singapore,2025-02-05 16:48:46.533170,Loyal,2025-02,2025
TXN_000067,ORD_1858,CUST_0893,PROD_165,Clothing Shoes,Clothing,4,84.13,336.51,0.0,32.0,368.51,Cash,Completed,North,Singapore,2025-08-14 16:48:46.533235,New,2025-08,2025
TXN_000068,ORD_2653,CUST_1367,PROD_104,Clothing Dress,Clothing,4,37.84,151.34,0.0,9.76,161.1,Debit Card,Pending,Central,Malaysia,2025-03-29 16:48:46.533299,VIP,2025-03,2025
TXN_000069,ORD_1889,CUST_1740,PROD_327,Electronics Smart Watch,Electronics,2,1626.14,3252.28,0.0,317.44,3569.72,Debit Card,Completed,North,Singapore,2025-07-06 16:48:46.533363,Regular,2025-07,2025
TXN_000070,ORD_1995,CUST_1771,PROD_040,Electronics Smart Watch,Electronics,3,1750.89,5252.68,0.0,544.28,5796.97,Bank Transfer,Completed,North,Thailand,2025-05-29 16:48:46.533429,New,2025-05,2025
TXN_000071,ORD_1061,CUST_0584,PROD_069,Sports Basketball,Sports,1,28.19,28.19,0.0,2.11,30.31,Debit Card,Delivered,Central,Singapore,2025-10-20 16:48:46.533493,New,2025-10,2025
TXN_000072,ORD_1816,CUST_1773,PROD_368,Clothing Jacket,Clothing,4,48.02,192.09,0.0,20.89,212.99,Cash,Completed,Central,Vietnam,2025-10-15 16:48:46.533558,Regular,2025-10,2025
TXN_000073,ORD_1411,CUST_1397,PROD_060,Books Fiction,Books,4,44.08,176.31,0.0,16.19,192.5,Credit Card,Completed,South,Vietnam,2025-06-14 16:48:46.533694,New,2025-06,2025
TXN_000074,ORD_0959,CUST_1005,PROD_385,Clothing Jeans,Clothing,2,55.48,110.96,0.0,11.17,122.13,Cash,Completed,East,Thailand,2025-12-06 16:48:46.533763,Regular,2025-12,2025
TXN_000075,ORD_1054,CUST_0457,PROD_130,Books Fiction,Books,4,46.22,184.9,0.0,13.83,198.73,Debit Card,Completed,Central,Thailand,2025-03-12 16:48:46.533828,Regular,2025-03,2025
TXN_000076,ORD_1879,CUST_0397,PROD_087,Electronics Headphones,Electronics,2,542.37,1084.74,0.0,76.74,1161.49,Cash,Completed,East,Thailand,2025-04-13 16:48:46.533893,VIP,2025-04,2025
TXN_000077,ORD_2787,CUST_1167,PROD_432,Electronics Smartphone,Electronics,4,1932.46,7729.84,0.0,482.51,8212.35,Debit Card,Completed,South,Vietnam,2024-12-19 16:48:46.533959,New,2024-12,2024
TXN_000078,ORD_0751,CUST_1919,PROD_439,Clothing T-Shirt,Clothing,1,170.59,170.59,0.0,20.33,190.93,Bank Transfer,Completed,Central,Vietnam,2025-02-12 16:48:46.534025,VIP,2025-02,2025
TXN_000079,ORD_1264,CUST_1201,PROD_041,Clothing Jeans,Clothing,1,61.46,61.46,0.0,5.55,67.01,Bank Transfer,Completed,West,Vietnam,2025-03-06 16:48:46.534092,Regular,2025-03,2025
TXN_000080,ORD_2692,CUST_0210,PROD_276,Books Textbook,Books,2,39.11,78.23,0.0,6.15,84.38,Bank Transfer,Completed,West,Singapore,2025-02-02 16:48:46.534157,Regular,2025-02,2025
TXN_000081,ORD_0692,CUST_1850,PROD_014,Books Non-Fiction,Books,3,47.14,141.42,0.0,14.97,156.4,Digital Wallet,Completed,East,Thailand,2025-10-18 16:48:46.534234,New,2025-10,2025
TXN_000082,ORD_0561,CUST_0958,PROD_323,Electronics Tablet,Electronics,2,945.56,1891.12,0.0,228.67,2119.79,Credit Card,Delivered,Central,Indonesia,2025-06-20 16:48:46.534301,Regular,2025-06,2025
TXN_000083,ORD_2184,CUST_0958,PROD_271,Food Tea,Food,3,14.49,43.46,0.0,4.85,48.31,Debit Card,Completed,Central,Indonesia,2024-12-31 16:48:46.534367,Regular,2024-12,2024
TXN_000084,ORD_1001,CUST_1747,PROD_018,Clothing T-Shirt,Clothing,2,154.89,309.78,0.0,31.95,341.74,Digital Wallet,Completed,East,Malaysia,2025-11-15 16:48:46.534432,Regular,2025-11,2025
TXN_000085,ORD_2764,CUST_0558,PROD_174,Home & Garden Bed,Home & Garden,4,522.9,2091.58,0.0,252.21,2343.79,Credit Card,Completed,East,Malaysia,2025-07-16 16:48:46.534497,Regular,2025-07,2025
TXN_000086,ORD_2324,CUST_0898,PROD_160,Home & Garden Chair,Home & Garden,1,316.51,316.51,0.0,38.88,355.38,Digital Wallet,Completed,East,Thailand,2025-04-15 16:48:46.534561,New,2025-04,2025
TXN_000087,ORD_1253,CUST_0919,PROD_123,Sports Tennis Racket,Sports,3,135.31,405.93,0.0,28.18,434.11,Credit Card,Completed,East,Thailand,2025-11-26 16:48:46.534626,New,2025-11,2025
TXN_000088,ORD_2218,CUST_0544,PROD_101,Books Comic,Books,3,26.55,79.64,3.17,10.87,87.34,Debit Card,Pending,West,Vietnam,2025-01-27 16:48:46.534694,Regular,2025-01,2025
TXN_000089,ORD_0322,CUST_0270,PROD_203,Sports Basketball,Sports,1,72.8,72.8,2.0,4.35,75.15,Credit Card,Completed,North,Thailand,2025-10-18 16:48:46.534760,Regular,2025-10,2025
TXN_000090,ORD_2597,CUST_1189,PROD_226,Electronics Laptop,Electronics,1,1763.3,1763.3,0.0,196.26,1959.56,Cash,Completed,East,Indonesia,2024-12-31 16:48:46.534828,Regular,2024-12,2024
TXN_000091,ORD_2565,CUST_1696,PROD_167,Sports Basketball,Sports,2,148.03,296.07,5.97,39.1,329.2,Credit Card,Completed,Central,Singapore,2025-02-12 16:48:46.534896,Regular,2025-02,2025
TXN_000092,ORD_2904,CUST_1793,PROD_468,Books Textbook,Books,4,36.14,144.58,0.0,15.31,159.89,Bank Transfer,Completed,Central,Thailand,2025-08-04 16:48:46.534960,Regular,2025-08,2025
TXN_000093,ORD_0008,CUST_0683,PROD_094,Books Fiction,Books,3,11.03,33.08,0.0,4.7,37.78,Cash,Completed,West,Vietnam,2024-12-12 16:48:46.535023,Regular,2024-12,2024
TXN_000094,ORD_1362,CUST_1689,PROD_136,Home & Garden Table,Home & Garden,2,229.59,459.18,0.0,58.87,518.05,Bank Transfer,Completed,West,Vietnam,2025-03-09 16:48:46.535088,Regular,2025-03,2025
TXN_000095,ORD_0032,CUST_1618,PROD_381,Food Snacks,Food,4,4.73,18.94,0.0,2.26,21.2,Bank Transfer,Completed,Central,Vietnam,2025-11-03 16:48:46.535153,Regular,2025-11,2025
TXN_000096,ORD_0495,CUST_1119,PROD_288,Clothing Jacket,Clothing,4,166.07,664.27,0.0,47.07,711.34,Debit Card,Completed,East,Thailand,2025-06-27 16:48:46.535218,VIP,2025-06,2025
TXN_000097,ORD_0369,CUST_0272,PROD_462,Electronics Tablet,Electronics,2,1074.22,2148.44,0.0,268.8,2417.25,Debit Card,Completed,Central,Indonesia,2025-02-13 16:48:46.535282,New,2025-02,2025
TXN_000098,ORD_0833,CUST_1626,PROD_132,Electronics Smartphone,Electronics,2,1559.38,3118.76,0.0,180.93,3299.69,Debit Card,Completed,South,Malaysia,2025-03-31 16:48:46.535358,New,2025-03,2025
TXN_000099,ORD_0915,CUST_0801,PROD_399,Home & Garden Lamp,Home & Garden,2,84.05,168.09,29.79,19.53,157.83,Digital Wallet,Completed,South,Singapore,2025-10-17 16:48:46.535426,VIP,2025-10,2025
TXN_000100,ORD_0660,CUST_1883,PROD_170,Food Coffee,Food,1,4.25,4.25,0.0,0.23,4.47,Digital Wallet,Delivered,South,Malaysia,2025-05-20 16:48:46.535494,Loyal,2025-05,2025
TXN_000101,ORD_2296,CUST_1181,PROD_014,Electronics Headphones,Electronics,4,1013.79,4055.16,0.0,516.43,4571.59,Digital Wallet,Completed,South,Indonesia,2025-03-15 16:48:46.535559,VIP,2025-03,2025
TXN_000102,ORD_0775,CUST_1436,PROD_329,Electronics Smart Watch,Electronics,2,160.56,321.11,0.0,47.3,368.41,Debit Card,Completed,North,Thailand,2025-03-26 16:48:46.535625,Regular,2025-03,2025
TXN_000103,ORD_1221,CUST_0558,PROD_475,Books Fiction,Books,1,31.69,31.69,0.0,3.12,34.81,Digital Wallet,Completed,Central,Malaysia,2025-04-12 16:48:46.535688,Regular,2025-04,2025
TXN_000104,ORD_1482,CUST_1157,PROD_061,Electronics Laptop,Electronics,2,1160.59,2321.19,0.0,257.97,2579.16,Credit Card,Completed,Central,Singapore,2025-11-01 16:48:46.535753,Regular,2025-11,2025
TXN_000105,ORD_0604,CUST_1867,PROD_088,Home & Garden Chair,Home & Garden,3,565.33,1695.99,0.0,236.14,1932.13,Bank Transfer,Completed,North,Malaysia,2025-02-18 16:48:46.535818,New,2025-02,2025
TXN_000106,ORD_2182,CUST_0798,PROD_363,Food Beverages,Food,1,18.4,18.4,0.0,1.47,19.88,Debit Card,Completed,South,Singapore,2025-11-27 16:48:46.535883,New,2025-11,2025
TXN_000107,ORD_2890,CUST_0315,PROD_128,Books Comic,Books,1,43.08,43.08,0.0,2.35,45.44,Credit Card,Completed,North,Vietnam,2025-05-07 16:48:46.535947,Regular,2025-05,2025
TXN_000108,ORD_2875,CUST_0180,PROD_450,Sports Tennis Racket,Sports,1,175.23,175.23,0.0,19.52,194.75,Cash,Completed,South,Indonesia,2025-10-03 16:48:46.536012,Regular,2025-10,2025
TXN_000109,ORD_0716,CUST_0930,PROD_289,Food Snacks,Food,4,27.37,109.47,0.0,13.04,122.51,Debit Card,Completed,South,Vietnam,2025-04-13 16:48:46.536077,Regular,2025-04,2025
TXN_000110,ORD_2424,CUST_1683,PROD_036,Clothing Dress,Clothing,4,69.31,277.25,0.0,39.42,316.67,Digital Wallet,Completed,North,Singapore,2025-03-08 16:48:46.536143,Regular,2025-03,2025
TXN_000111,ORD_1773,CUST_0347,PROD_330,Sports Yoga Mat,Sports,4,241.66,966.66,0.0,59.44,1026.1,Cash,Completed,East,Singapore,2024-12-10 16:48:46.536221,Loyal,2024-12,2024
TXN_000112,ORD_2366,CUST_0833,PROD_152,Home & Garden Table,Home & Garden,1,737.25,737.25,0.0,84.36,821.61,Debit Card,Completed,South,Malaysia,2025-05-26 16:48:46.536290,Regular,2025-05,2025
TXN_000113,ORD_1982,CUST_0106,PROD_315,Books Textbook,Books,3,43.54,130.63,0.0,14.27,144.91,Cash,Completed,West,Vietnam,2025-07-09 16:48:46.536357,Regular,2025-07,2025
TXN_000114,ORD_2870,CUST_1467,PROD_162,Books Magazine,Books,4,42.5,170.01,0.0,11.84,181.85,Cash,Completed,East,Singapore,2025-06-10 16:48:46.536424,Regular,2025-06,2025
TXN_000115,ORD_0911,CUST_0930,PROD_426,Electronics Laptop,Electronics,2,1162.23,2324.46,0.0,207.39,2531.85,Debit Card,Shipped,West,Thailand,2025-04-22 16:48:46.536489,Loyal,2025-04,2025
TXN_000116,ORD_0799,CUST_1563,PROD_499,Food Beverages,Food,4,13.04,52.14,0.0,6.04,58.18,Credit Card,Delivered,South,Indonesia,2025-01-26 16:48:46.536554,VIP,2025-01,2025
TXN_000117,ORD_2975,CUST_0828,PROD_251,Clothing Jeans,Clothing,2,99.84,199.69,0.0,14.57,214.26,Bank Transfer,Completed,East,Indonesia,2025-09-22 16:48:46.536619,VIP,2025-09,2025
TXN_000118,ORD_0881,CUST_0690,PROD_003,Books Fiction,Books,2,44.1,88.2,0.0,12.65,100.86,Debit Card,Completed,North,Indonesia,2025-07-12 16:48:46.536685,Regular,2025-07,2025
TXN_000119,ORD_1763,CUST_0384,PROD_173,Clothing Jeans,Clothing,2,89.83,179.65,0.0,26.1,205.76,Digital Wallet,Completed,South,Malaysia,2025-05-08 16:48:46.536750,Regular,2025-05,2025
TXN_000120,ORD_2960,CUST_0470,PROD_321,Beauty Makeup,Beauty,1,63.82,63.82,0.0,3.28,67.09,Debit Card,Completed,North,Indonesia,2025-10-09 16:48:46.536815,New,2025-10,2025
TXN_000121,ORD_2447,CUST_0649,PROD_475,Books Fiction,Books,3,14.6,43.81,0.0,4.99,48.8,Cash,Completed,East,Malaysia,2025-09-19 16:48:46.536882,Regular,2025-09,2025
TXN_000122,ORD_2037,CUST_0865,PROD_490,Electronics Laptop,Electronics,2,1192.34,2384.69,0.0,206.86,2591.55,Digital Wallet,Shipped,South,Vietnam,2025-07-27 16:48:46.536947,Regular,2025-07,2025
TXN_000123,ORD_2975,CUST_0712,PROD_389,Books Comic,Books,4,33.3,133.19,25.74,7.08,114.53,Debit Card,Completed,West,Thailand,2025-05-21 16:48:46.537014,New,2025-05,2025
TXN_000124,ORD_0507,CUST_0831,PROD_455,Sports Basketball,Sports,4,18.5,73.98,0.0,7.21,81.2,Digital Wallet,Completed,West,Vietnam,2025-04-29 16:48:46.537078,VIP,2025-04,2025
TXN_000125,ORD_2065,CUST_0771,PROD_455,Beauty Perfume,Beauty,2,98.76,197.53,0.0,13.01,210.54,Bank Transfer,Completed,West,Indonesia,2025-01-12 16:48:46.537143,Regular,2025-01,2025
TXN_000126,ORD_2740,CUST_1596,PROD_232,Home & Garden Bed,Home & Garden,4,269.16,1076.64,0.0,145.21,1221.86,Debit Card,Completed,East,Indonesia,2025-04-26 16:48:46.537207,Regular,2025-04,2025
TXN_000127,ORD_2304,CUST_0746,PROD_437,Food Coffee,Food,3,14.13,42.38,0.0,4.2,46.58,Digital Wallet,Delivered,North,Thailand,2025-02-19 16:48:46.537271,Regular,2025-02,2025
