transaction_id,customer_id,product_name,category,quantity,unit_price,total_amount,discount_amount,final_amount,payment_method,order_status,transaction_date,source
TXN_000013,CUST_0242,Blender,Clothing,2,253.78,507.55,0.0,507.55,Credit Card,Completed,2025-11-01 16:50:40.954962,Mock Data
TXN_000014,CUST_3558,Headphones,Clothing,1,214.7,214.7,0.0,214.7,Cash,Completed,2025-01-26 16:50:40.955553,Mock Data
TXN_000015,CUST_3707,T-Shirt,Electronics,2,375.52,751.04,17.76,733.28,Digital Wallet,Completed,2025-07-12 16:50:40.956203,Mock Data
TXN_000016,CUST_4428,TV,Clothing,4,118.11,472.42,0.0,472.42,Cash,Completed,2025-06-26 16:50:40.956781,Mock Data
TXN_000017,CUST_3609,Smartphone,Clothing,1,20.79,20.79,0.0,20.79,PayPal,Completed,2025-06-11 16:50:40.957308,Mock Data
TXN_000018,CUST_3577,Shoes,Home & Garden,3,548.6,1645.79,0.0,1645.79,Credit Card,Pending,2025-10-28 16:50:40.957874,Mock Data
TXN_000019,CUST_1013,Jeans,Home & Garden,4,574.99,2299.95,0.0,2299.95,Cash,Completed,2025-09-10 16:50:40.958418,Mock Data
TXN_000020,CUST_1181,Book,Entertainment,3,541.02,1623.07,164.96,1458.11,Digital Wallet,Completed,2025-01-13 16:50:40.958963,Mock Data
TXN_000021,CUST_0981,Gaming Console,Home & Garden,4,551.51,2206.03,0.0,2206.03,Debit Card,Completed,2025-01-04 16:50:40.959484,Mock Data
TXN_000022,CUST_1301,Smart Watch,Books,4,45.9,183.6,0.0,183.6,Cash,Completed,2025-08-31 16:50:40.960023,Mock Data
TXN_000023,CUST_2197,Laptop,Books,3,35.27,105.8,0.0,105.8,Digital Wallet,Delivered,2025-07-13 16:50:40.960559,Mock Data
TXN_000024,CUST_3719,Laptop,Books,1,67.86,67.86,0.0,67.86,Credit Card,Completed,2025-04-06 16:50:40.961078,Mock Data
TXN_000025,CUST_4745,Headphones,Entertainment,3,519.61,1558.82,374.72,1184.1,Credit Card,Completed,2025-04-12 16:50:40.961615,Mock Data
TXN_000026,CUST_2208,Smart Watch,Entertainment,2,393.7,787.4,196.5,590.91,Digital Wallet,Delivered,2025-08-03 16:50:40.962161,Mock Data
TXN_000027,CUST_1475,Headphones,Home & Garden,4,630.09,2520.38,0.0,2520.38,Cash,Completed,2025-03-30 16:50:40.962889,Mock Data
TXN_000028,CUST_2833,Tablet,Clothing,1,146.59,146.59,0.0,146.59,Digital Wallet,Completed,2025-04-21 16:50:40.963419,Mock Data
TXN_000029,CUST_3994,Book,Electronics,1,1801.58,1801.58,157.58,1644.0,Digital Wallet,Completed,2025-07-19 16:50:40.964058,Mock Data
TXN_000030,CUST_0182,Smartphone,Home & Garden,1,56.36,56.36,0.0,56.36,Digital Wallet,Completed,2025-11-25 16:50:40.964804,Mock Data
TXN_000031,CUST_4515,Headphones,Electronics,1,1617.58,1617.58,0.0,1617.58,Debit Card,Completed,2025-03-29 16:50:40.965381,Mock Data
TXN_000032,CUST_1089,Smartphone,Books,3,93.43,280.28,8.81,271.47,Credit Card,Completed,2025-11-21 16:50:40.965948,Mock Data
TXN_000033,CUST_4675,Headphones,Entertainment,1,587.34,587.34,146.49,440.86,PayPal,Completed,2025-08-09 16:50:40.966484,Mock Data
TXN_000034,CUST_1212,Jacket,Clothing,1,137.13,137.13,0.0,137.13,Cash,Completed,2025-06-07 16:50:40.966999,Mock Data
TXN_000035,CUST_2169,Smartphone,Clothing,2,247.93,495.87,0.0,495.87,Digital Wallet,Completed,2025-08-24 16:50:40.967514,Mock Data
TXN_000036,CUST_1014,Gaming Console,Electronics,2,600.2,1200.41,356.2,844.21,Credit Card,Completed,2025-04-19 16:50:40.968037,Mock Data
TXN_000037,CUST_0915,Book,Books,3,33.92,101.75,24.01,77.74,Debit Card,Completed,2025-10-18 16:50:40.968578,Mock Data
TXN_000038,CUST_2368,Jeans,Electronics,2,902.07,1804.14,0.0,1804.14,Credit Card,Completed,2025-04-06 16:50:40.969108,Mock Data
TXN_000039,CUST_3346,TV,Books,4,46.41,185.62,0.0,185.62,PayPal,Completed,2025-01-24 16:50:40.969818,Mock Data
TXN_000040,CUST_2898,Headphones,Home & Garden,3,75.23,225.7,22.71,202.98,Debit Card,Completed,2025-03-25 16:50:40.970549,Mock Data
TXN_000041,CUST_1174,Laptop,Entertainment,2,407.42,814.84,0.0,814.84,Cash,Shipped,2025-03-26 16:50:40.971162,Mock Data
TXN_000042,CUST_0358,Headphones,Clothing,4,29.05,116.2,0.0,116.2,Debit Card,Completed,2025-04-08 16:50:40.971721,Mock Data
TXN_000043,CUST_2491,Shoes,Electronics,1,802.99,802.99,0.0,802.99,Debit Card,Pending,2025-06-25 16:50:40.972313,Mock Data
TXN_000044,CUST_3023,Shoes,Home & Garden,3,326.54,979.62,0.0,979.62,Credit Card,Completed,2025-02-17 16:50:40.972877,Mock Data
TXN_000045,CUST_1011,Tablet,Home & Garden,2,243.87,487.73,0.0,487.73,Digital Wallet,Completed,2025-09-11 16:50:40.973417,Mock Data
TXN_000046,CUST_1648,Blender,Entertainment,4,227.21,908.86,0.0,908.86,PayPal,Completed,2024-12-27 16:50:40.973969,Mock Data
TXN_000047,CUST_3272,Jacket,Entertainment,3,145.1,435.29,0.0,435.29,Debit Card,Completed,2025-01-09 16:50:40.974596,Mock Data
TXN_000048,CUST_0919,Dress,Books,4,15.19,60.75,17.4,43.35,Digital Wallet,Completed,2025-03-27 16:50:40.975132,Mock Data
TXN_000049,CUST_2125,Coffee Maker,Books,2,20.33,40.67,0.33,40.33,PayPal,Completed,2025-09-25 16:50:40.975685,Mock Data
TXN_000050,CUST_0727,Smart Watch,Home & Garden,1,578.07,578.07,0.0,578.07,Digital Wallet,Completed,2025-01-24 16:50:40.976242,Mock Data
TXN_000051,CUST_2351,Jeans,Home & Garden,3,105.82,317.45,0.0,317.45,Cash,Delivered,2025-01-22 16:50:40.976878,Mock Data
TXN_000052,CUST_1016,Smart Watch,Home & Garden,2,691.29,1382.58,0.0,1382.58,PayPal,Pending,2025-01-16 16:50:40.977537,Mock Data
TXN_000053,CUST_0224,Jacket,Electronics,4,1052.7,4210.79,1144.84,3065.94,PayPal,Completed,2025-06-16 16:50:40.978195,Mock Data
TXN_000054,CUST_1872,Smart Watch,Electronics,3,255.43,766.28,0.0,766.28,Credit Card,Completed,2025-09-17 16:50:40.978763,Mock Data
TXN_000055,CUST_4250,Jacket,Home & Garden,2,424.52,849.03,0.0,849.03,Credit Card,Completed,2025-04-14 16:50:40.979289,Mock Data
TXN_000056,CUST_0252,Smart Watch,Books,2,29.65,59.29,0.0,59.29,Credit Card,Completed,2025-01-21 16:50:40.979839,Mock Data
TXN_000057,CUST_2156,Gaming Console,Electronics,3,173.37,520.1,0.0,520.1,Debit Card,Completed,2025-11-03 16:50:40.980369,Mock Data
TXN_000058,CUST_4717,Smart Watch,Home & Garden,4,205.48,821.91,0.0,821.91,Debit Card,Completed,2025-06-04 16:50:40.980895,Mock Data
TXN_000059,CUST_1227,Coffee Maker,Entertainment,2,285.67,571.34,0.0,571.34,PayPal,Completed,2025-11-23 16:50:40.981426,Mock Data
TXN_000060,CUST_1574,T-Shirt,Electronics,1,928.05,928.05,0.0,928.05,Credit Card,Completed,2025-11-11 16:50:40.981966,Mock Data
TXN_000061,CUST_1397,T-Shirt,Electronics,4,1504.46,6017.86,0.0,6017.86,Credit Card,Completed,2025-06-01 16:50:40.982495,Mock Data
TXN_000062,CUST_0588,Coffee Maker,Books,2,23.61,47.22,0.28,46.94,Digital Wallet,Pending,2025-07-16 16:50:40.983013,Mock Data
TXN_000063,CUST_1040,Blender,Home & Garden,4,45.31,181.25,0.0,181.25,Credit Card,Completed,2025-01-20 16:50:40.983837,Mock Data
TXN_000064,CUST_2174,Book,Entertainment,2,361.13,722.26,157.06,565.2,PayPal,Completed,2025-08-22 16:50:40.984440,Mock Data
TXN_000065,CUST_4966,Jacket,Books,3,45.31,135.92,0.0,135.92,PayPal,Completed,2025-09-04 16:50:40.984986,Mock Data
TXN_000066,CUST_3442,Blender,Home & Garden,3,340.74,1022.23,0.0,1022.23,Digital Wallet,Completed,2025-09-13 16:50:40.985568,Mock Data
TXN_000067,CUST_4101,Shoes,Entertainment,3,510.49,1531.46,0.0,1531.46,Digital Wallet,Pending,2025-06-20 16:50:40.986100,Mock Data
TXN_000068,CUST_4799,Headphones,Clothing,1,270.21,270.21,0.0,270.21,PayPal,Completed,2024-12-21 16:50:40.986637,Mock Data
TXN_000069,CUST_3770,Jacket,Clothing,1,105.2,105.2,0.0,105.2,PayPal,Completed,2025-09-25 16:50:40.987161,Mock Data
TXN_000070,CUST_2430,Tablet,Clothing,4,86.7,346.79,25.87,320.92,Credit Card,Completed,2025-04-05 16:50:40.987712,Mock Data
TXN_000071,CUST_2954,Jacket,Entertainment,1,243.16,243.16,0.0,243.16,Debit Card,Completed,2025-09-18 16:50:40.988292,Mock Data
TXN_000072,CUST_3747,TV,Electronics,3,445.79,1337.36,103.77,1233.59,Debit Card,Completed,2025-05-08 16:50:40.988824,Mock Data
TXN_000073,CUST_3231,Headphones,Clothing,2,245.19,490.39,0.4,489.98,Cash,Delivered,2025-01-05 16:50:40.989349,Mock Data
TXN_000074,CUST_2831,Smart Watch,Clothing,1,44.67,44.67,0.0,44.67,Debit Card,Pending,2025-10-22 16:50:40.989902,Mock Data
TXN_000075,CUST_2312,Book,Clothing,1,192.23,192.23,0.0,192.23,Cash,Pending,2025-08-19 16:50:40.990615,Mock Data
TXN_000076,CUST_4829,Dress,Clothing,2,242.0,484.0,0.0,484.0,Cash,Completed,2025-04-08 16:50:40.991209,Mock Data
TXN_000077,CUST_3765,Tablet,Books,4,76.1,304.39,0.0,304.39,Cash,Completed,2025-11-08 16:50:40.991797,Mock Data
TXN_000078,CUST_4268,Dress,Books,2,26.37,52.74,0.0,52.74,Debit Card,Completed,2025-11-03 16:50:40.992388,Mock Data
TXN_000079,CUST_1548,Dress,Home & Garden,1,648.33,648.33,0.0,648.33,Digital Wallet,Pending,2025-02-27 16:50:40.992966,Mock Data
TXN_000080,CUST_4438,Smart Watch,Electronics,3,1517.81,4553.44,0.0,4553.44,Cash,Completed,2025-08-15 16:50:40.993544,Mock Data
TXN_000081,CUST_2254,Gaming Console,Books,1,56.59,56.59,0.0,56.59,Digital Wallet,Completed,2025-11-13 16:50:40.994147,Mock Data
TXN_000082,CUST_3507,TV,Books,1,78.59,78.59,0.0,78.59,Cash,Completed,2025-03-02 16:50:40.994752,Mock Data
TXN_000083,CUST_2664,Smartphone,Electronics,1,372.42,372.42,0.0,372.42,Debit Card,Pending,2025-09-23 16:50:40.995412,Mock Data
TXN_000084,CUST_0145,Laptop,Home & Garden,1,749.06,749.06,0.0,749.06,PayPal,Completed,2024-12-13 16:50:40.995949,Mock Data
TXN_000085,CUST_2161,TV,Clothing,3,192.56,577.68,0.0,577.68,PayPal,Completed,2025-08-14 16:50:40.996538,Mock Data
TXN_000086,CUST_0255,Book,Home & Garden,2,489.45,978.9,0.0,978.9,Cash,Completed,2024-12-12 16:50:40.997090,Mock Data
TXN_000087,CUST_1588,Gaming Console,Entertainment,3,508.65,1525.96,0.0,1525.96,Digital Wallet,Completed,2025-11-14 16:50:40.997724,Mock Data
TXN_000088,CUST_0066,Headphones,Clothing,2,281.71,563.42,0.0,563.42,Debit Card,Completed,2024-12-23 16:50:40.998250,Mock Data
TXN_000089,CUST_0147,Blender,Books,3,50.46,151.37,23.22,128.16,PayPal,Pending,2025-05-26 16:50:40.998788,Mock Data
TXN_000090,CUST_3658,Headphones,Entertainment,1,246.83,246.83,0.0,246.83,PayPal,Completed,2025-05-13 16:50:40.999366,Mock Data
TXN_000091,CUST_0105,Coffee Maker,Home & Garden,1,735.79,735.79,0.0,735.79,Cash,Completed,2025-02-20 16:50:40.999920,Mock Data
TXN_000092,CUST_3173,TV,Books,2,99.17,198.34,0.0,198.34,Digital Wallet,Completed,2025-10-24 16:50:41.000471,Mock Data
TXN_000093,CUST_4018,Blender,Home & Garden,4,383.95,1535.8,319.09,1216.71,Credit Card,Completed,2025-10-06 16:50:41.001018,Mock Data
TXN_000094,CUST_0650,Book,Entertainment,3,501.36,1504.09,0.0,1504.09,Cash,Completed,2025-01-28 16:50:41.001582,Mock Data
TXN_000095,CUST_1922,Smart Watch,Electronics,3,1247.79,3743.38,294.88,3448.5,PayPal,Completed,2025-06-01 16:50:41.002115,Mock Data
TXN_000096,CUST_4981,Jeans,Clothing,2,261.38,522.76,0.0,522.76,Credit Card,Completed,2025-01-20 16:50:41.002692,Mock Data
TXN_000097,CUST_2481,Laptop,Clothing,1,42.82,42.82,11.72,31.1,PayPal,Completed,2024-12-18 16:50:41.003255,Mock Data
TXN_000098,CUST_3044,Laptop,Electronics,1,844.13,844.13,0.0,844.13,Credit Card,Pending,2025-04-25 16:50:41.003819,Mock Data
TXN_000099,CUST_3785,TV,Entertainment,3,42.59,127.78,0.0,127.78,Debit Card,Completed,2025-05-18 16:50:41.004539,Mock Data
TXN_000100,CUST_2493,Coffee Maker,Books,2,14.44,28.88,0.0,28.88,Digital Wallet,Completed,2025-02-21 16:50:41.005199,Mock Data
TXN_000101,CUST_4068,Laptop,Books,1,33.05,33.05,0.0,33.05,Cash,Pending,2025-06-16 16:50:41.005752,Mock Data
TXN_000102,CUST_0541,TV,Entertainment,2,417.63,835.25,0.0,835.25,Debit Card,Completed,2025-04-29 16:50:41.006293,Mock Data
TXN_000103,CUST_4585,Gaming Console,Entertainment,2,295.39,590.78,0.0,590.78,Digital Wallet,Completed,2025-09-06 16:50:41.006817,Mock Data
TXN_000104,CUST_3112,Tablet,Clothing,3,63.15,189.46,46.85,142.61,Credit Card,Completed,2025-05-20 16:50:41.007364,Mock Data
TXN_000105,CUST_4743,Smart Watch,Clothing,1,70.49,70.49,0.0,70.49,Digital Wallet,Pending,2025-04-15 16:50:41.007922,Mock Data
TXN_000106,CUST_0323,Coffee Maker,Electronics,3,926.3,2778.9,0.0,2778.9,Credit Card,Completed,2025-10-20 16:50:41.008456,Mock Data
TXN_000107,CUST_2589,Laptop,Entertainment,3,217.65,652.95,0.0,652.95,Cash,Shipped,2025-05-10 16:50:41.009000,Mock Data
TXN_000108,CUST_1275,Gaming Console,Clothing,3,210.62,631.85,0.0,631.85,Cash,Completed,2025-06-27 16:50:41.009530,Mock Data
TXN_000109,CUST_4622,Book,Books,1,23.63,23.63,0.0,23.63,Credit Card,Completed,2025-02-04 16:50:41.010088,Mock Data
TXN_000110,CUST_4446,Jacket,Clothing,2,140.28,280.57,0.0,280.57,Debit Card,Completed,2025-06-14 16:50:41.010629,Mock Data
TXN_000111,CUST_2052,Tablet,Electronics,4,1740.21,6960.85,0.0,6960.85,Debit Card,Completed,2025-01-29 16:50:41.011455,Mock Data
TXN_000112,CUST_0373,Jeans,Books,3,15.37,46.11,0.0,46.11,PayPal,Completed,2025-09-26 16:50:41.012106,Mock Data
TXN_000113,CUST_2816,Shoes,Clothing,1,138.0,138.0,23.01,114.99,PayPal,Completed,2025-01-04 16:50:41.012650,Mock Data
TXN_000114,CUST_3562,Gaming Console,Clothing,3,83.83,251.5,69.61,181.89,PayPal,Completed,2025-11-20 16:50:41.013208,Mock Data
TXN_000115,CUST_2242,T-Shirt,Home & Garden,4,69.74,278.94,0.0,278.94,PayPal,Completed,2025-11-01 16:50:41.013771,Mock Data
TXN_000116,CUST_3955,Jacket,Clothing,3,149.17,447.52,0.0,447.52,PayPal,Completed,2025-04-22 16:50:41.014308,Mock Data
TXN_000117,CUST_4603,Dress,Entertainment,1,66.31,66.31,13.84,52.47,Credit Card,Completed,2025-03-18 16:50:41.014866,Mock Data
TXN_000118,CUST_0998,Book,Books,2,63.76,127.51,0.0,127.51,Debit Card,Shipped,2025-02-25 16:50:41.015393,Mock Data
TXN_000119,CUST_0687,T-Shirt,Books,2,77.23,154.46,0.0,154.46,Digital Wallet,Completed,2025-12-05 16:50:41.015945,Mock Data
TXN_000120,CUST_2752,T-Shirt,Home & Garden,4,740.17,2960.67,816.63,2144.03,Debit Card,Pending,2025-01-09 16:50:41.016480,Mock Data
TXN_000121,CUST_1807,Headphones,Home & Garden,4,254.93,1019.72,0.0,1019.72,Credit Card,Pending,2025-06-19 16:50:41.017033,Mock Data
TXN_000122,CUST_4324,Coffee Maker,Electronics,2,1148.41,2296.82,0.0,2296.82,Credit Card,Completed,2025-01-28 16:50:41.017562,Mock Data
TXN_000123,CUST_1612,Smartphone,Entertainment,2,467.79,935.59,156.32,779.27,PayPal,Completed,2025-01-09 16:50:41.018234,Mock Data
TXN_000124,CUST_4215,Headphones,Electronics,3,1551.11,4653.33,0.0,4653.33,PayPal,Completed,2024-12-10 16:50:41.018873,Mock Data
TXN_000125,CUST_1596,Smart Watch,Clothing,1,122.71,122.71,19.92,102.78,Cash,Completed,2024-12-31 16:50:41.019413,Mock Data
TXN_000126,CUST_1511,Dress,Home & Garden,3,69.97,209.9,0.0,209.9,Debit Card,Completed,2025-07-26 16:50:41.019967,Mock Data
TXN_000127,CUST_2625,Smart Watch,Books,3,76.94,230.82,0.0,230.82,Cash,Completed,2025-10-02 16:50:41.020511,Mock Data
TXN_000128,CUST_4345,Dress,Home & Garden,3,61.8,185.4,0.0,185.4,Credit Card,Completed,2025-03-02 16:50:41.021051,Mock Data
TXN_000129,CUST_0985,Coffee Maker,Books,1,10.01,10.01,2.74,7.27,PayPal,Completed,2025-07-06 16:50:41.021579,Mock Data
TXN_000130,CUST_0009,Dress,Home & Garden,2,773.21,1546.42,0.0,1546.42,Cash,Completed,2025-06-01 16:50:41.022118,Mock Data
TXN_000131,CUST_3949,Jeans,Entertainment,1,291.41,291.41,0.0,291.41,Debit Card,Completed,2025-05-22 16:50:41.022649,Mock Data
TXN_000132,CUST_4918,Book,Entertainment,3,490.25,1470.76,0.0,1470.76,Digital Wallet,Completed,2025-07-15 16:50:41.023180,Mock Data
TXN_000133,CUST_1287,Dress,Clothing,4,234.16,936.66,0.0,936.66,Debit Card,Shipped,2025-06-18 16:50:41.023731,Mock Data
TXN_000134,CUST_0057,Headphones,Home & Garden,1,288.91,288.91,0.0,288.91,Debit Card,Completed,2025-11-16 16:50:41.024283,Mock Data
TXN_000135,CUST_1771,Smart Watch,Entertainment,1,306.96,306.96,0.0,306.96,Debit Card,Pending,2025-11-11 16:50:41.024844,Mock Data
TXN_000136,CUST_4561,Smart Watch,Clothing,4,291.75,1166.99,176.68,990.31,Digital Wallet,Shipped,2025-07-16 16:50:41.025552,Mock Data
TXN_000137,CUST_4621,TV,Home & Garden,1,517.09,517.09,0.0,517.09,Debit Card,Completed,2025-10-08 16:50:41.026126,Mock Data
TXN_000138,CUST_4086,Blender,Clothing,1,198.53,198.53,0.0,198.53,PayPal,Completed,2025-09-21 16:50:41.026668,Mock Data
TXN_000139,CUST_3760,Coffee Maker,Entertainment,3,421.18,1263.55,0.0,1263.55,Debit Card,Completed,2025-10-11 16:50:41.027300,Mock Data
TXN_000140,CUST_4026,Gaming Console,Books,4,70.45,281.78,0.0,281.78,Cash,Completed,2025-03-16 16:50:41.027888,Mock Data
TXN_000141,CUST_1879,Dress,Clothing,4,30.71,122.83,0.0,122.83,Debit Card,Completed,2025-10-30 16:50:41.028414,Mock Data
TXN_000142,CUST_3527,Gaming Console,Books,1,54.27,54.27,0.0,54.27,Cash,Completed,2025-06-20 16:50:41.028965,Mock Data
TXN_000143,CUST_2261,Coffee Maker,Books,3,84.05,252.14,0.0,252.14,Debit Card,Completed,2025-05-21 16:50:41.029553,Mock Data
TXN_000144,CUST_0119,Laptop,Entertainment,4,500.57,2002.27,0.0,2002.27,Debit Card,Completed,2025-07-27 16:50:41.030098,Mock Data
TXN_000145,CUST_3146,T-Shirt,Electronics,2,1463.68,2927.35,0.0,2927.35,Credit Card,Pending,2025-04-19 16:50:41.030634,Mock Data
TXN_000146,CUST_0076,T-Shirt,Electronics,1,1146.65,1146.65,0.0,1146.65,Debit Card,Completed,2024-12-31 16:50:41.031173,Mock Data
TXN_000147,CUST_4697,Book,Books,4,63.3,253.22,0.0,253.22,Digital Wallet,Completed,2025-03-16 16:50:41.031752,Mock Data
TXN_000148,CUST_0731,Shoes,Home & Garden,3,393.3,1179.89,0.0,1179.89,Credit Card,Completed,2025-05-23 16:50:41.032389,Mock Data
TXN_000149,CUST_4916,Dress,Clothing,4,118.57,474.27,0.0,474.27,PayPal,Completed,2025-07-08 16:50:41.032978,Mock Data
TXN_000150,CUST_3749,Blender,Entertainment,4,193.83,775.31,0.0,775.31,Cash,Pending,2025-03-08 16:50:41.033522,Mock Data
TXN_000151,CUST_3149,Coffee Maker,Entertainment,2,321.37,642.75,0.0,642.75,PayPal,Completed,2025-10-09 16:50:41.034068,Mock Data
TXN_000152,CUST_0905,Gaming Console,Books,4,92.43,369.71,0.0,369.71,Digital Wallet,Pending,2025-09-24 16:50:41.034599,Mock Data
TXN_000153,CUST_4627,Dress,Electronics,4,65.67,262.67,0.0,262.67,Credit Card,Completed,2025-11-05 16:50:41.035130,Mock Data
TXN_000154,CUST_4405,Headphones,Electronics,4,836.73,3346.9,0.0,3346.9,PayPal,Completed,2025-10-08 16:50:41.035665,Mock Data
TXN_000155,CUST_3084,Book,Entertainment,2,354.46,708.92,98.97,609.95,PayPal,Completed,2025-06-08 16:50:41.036208,Mock Data
TXN_000156,CUST_0593,Coffee Maker,Electronics,3,413.41,1240.23,0.0,1240.23,Credit Card,Completed,2025-07-10 16:50:41.036743,Mock Data
TXN_000157,CUST_1086,Coffee Maker,Home & Garden,1,169.11,169.11,50.47,118.64,Debit Card,Completed,2025-03-26 16:50:41.037282,Mock Data
TXN_000158,CUST_0035,Headphones,Entertainment,4,492.36,1969.44,0.0,1969.44,PayPal,Completed,2025-03-03 16:50:41.037814,Mock Data
TXN_000159,CUST_3940,Laptop,Electronics,4,910.02,3640.06,0.0,3640.06,PayPal,Completed,2025-02-03 16:50:41.038346,Mock Data
TXN_000160,CUST_0371,Headphones,Books,1,95.75,95.75,0.0,95.75,Credit Card,Completed,2025-07-15 16:50:41.038946,Mock Data
TXN_000161,CUST_2710,TV,Clothing,1,25.09,25.09,6.52,18.57,Credit Card,Completed,2025-02-05 16:50:41.039571,Mock Data
TXN_000162,CUST_0061,Dress,Books,4,78.94,315.75,0.0,315.75,Credit Card,Delivered,2025-04-08 16:50:41.040146,Mock Data
TXN_000163,CUST_1345,TV,Electronics,3,1510.62,4531.85,0.0,4531.85,Cash,Pending,2025-03-26 16:50:41.040687,Mock Data
TXN_000164,CUST_4110,Book,Clothing,1,197.89,197.89,0.0,197.89,Credit Card,Completed,2025-10-22 16:50:41.041240,Mock Data
TXN_000165,CUST_2688,Gaming Console,Home & Garden,1,667.83,667.83,0.0,667.83,Cash,Completed,2025-03-15 16:50:41.041790,Mock Data
TXN_000166,CUST_3973,Dress,Books,4,11.75,47.01,0.0,47.01,Credit Card,Completed,2025-08-07 16:50:41.042321,Mock Data
TXN_000167,CUST_0904,Jeans,Clothing,4,188.51,754.03,0.0,754.03,PayPal,Completed,2025-09-07 16:50:41.042866,Mock Data
TXN_000168,CUST_2429,TV,Entertainment,1,597.62,597.62,0.0,597.62,Cash,Completed,2025-08-25 16:50:41.043424,Mock Data
TXN_000169,CUST_0132,Blender,Clothing,1,81.2,81.2,0.0,81.2,Digital Wallet,Completed,2025-07-11 16:50:41.044039,Mock Data
TXN_000170,CUST_4119,Smartphone,Books,2,89.1,178.2,24.43,153.77,PayPal,Completed,2025-06-01 16:50:41.044595,Mock Data
TXN_000171,CUST_0943,T-Shirt,Books,2,51.52,103.05,0.0,103.05,Cash,Pending,2025-03-28 16:50:41.045121,Mock Data
TXN_000172,CUST_3903,Dress,Entertainment,3,153.45,460.35,97.93,362.42,Digital Wallet,Completed,2025-08-24 16:50:41.045795,Mock Data
TXN_000173,CUST_0922,T-Shirt,Books,3,66.85,200.56,0.0,200.56,PayPal,Completed,2025-03-30 16:50:41.046442,Mock Data
TXN_000174,CUST_1765,Blender,Books,2,73.87,147.73,0.0,147.73,Credit Card,Delivered,2025-02-01 16:50:41.046969,Mock Data
TXN_000175,CUST_1621,T-Shirt,Entertainment,2,509.99,1019.98,0.0,1019.98,Digital Wallet,Completed,2025-02-14 16:50:41.047506,Mock Data
TXN_000176,CUST_4220,Smart Watch,Entertainment,3,95.44,286.31,72.39,213.93,Credit Card,Completed,2025-11-06 16:50:41.048081,Mock Data
TXN_000177,CUST_1643,Smart Watch,Entertainment,3,274.13,822.39,0.0,822.39,Digital Wallet,Completed,2025-11-11 16:50:41.048604,Mock Data
TXN_000178,CUST_0304,T-Shirt,Books,2,99.1,198.19,0.0,198.19,Cash,Completed,2025-01-20 16:50:41.049140,Mock Data
TXN_000179,CUST_3495,TV,Electronics,2,1437.7,2875.4,0.0,2875.4,Debit Card,Completed,2025-08-14 16:50:41.049696,Mock Data
TXN_000180,CUST_0838,Blender,Electronics,2,504.33,1008.66,0.0,1008.66,Cash,Completed,2025-08-11 16:50:41.050236,Mock Data
TXN_000181,CUST_0801,Jacket,Home & Garden,3,688.86,2066.58,0.0,2066.58,Cash,Completed,2025-07-13 16:50:41.050758,Mock Data
TXN_000182,CUST_1341,Headphones,Electronics,2,1039.57,2079.15,0.0,2079.15,PayPal,Completed,2025-03-15 16:50:41.051317,Mock Data
TXN_000183,CUST_1736,Gaming Console,Clothing,1,284.43,284.43,0.0,284.43,PayPal,Completed,2025-08-23 16:50:41.051863,Mock Data
TXN_000184,CUST_4500,Blender,Clothing,3,23.5,70.51,0.0,70.51,PayPal,Completed,2025-05-28 16:50:41.052397,Mock Data
TXN_000185,CUST_4385,Book,Clothing,4,113.43,453.72,0.0,453.72,PayPal,Completed,2025-02-10 16:50:41.053138,Mock Data
