deal_id,deal_name,customer_id,amount,stage,pipeline,is_closed,is_won,close_date,create_date,probability,source
DEAL_0014,Deal 14,CUST_1869,6506.97,Prospecting,Partnership Pipeline,False,False,2025-12-04 16:50:40.571710,2025-07-22 16:50:40.571713,80,Mock Data
DEAL_0015,Deal 15,CUST_2848,8235.38,Proposal,Consulting Pipeline,False,False,2025-11-14 16:50:40.571736,2025-07-28 16:50:40.571740,42,Mock Data
DEAL_0016,Deal 16,CUST_0603,2052.89,Proposal,Sales Pipeline,False,False,2025-12-18 16:50:40.571763,2025-07-03 16:50:40.571766,52,Mock Data
DEAL_0017,Deal 17,CUST_2543,7835.98,Qualification,Sales Pipeline,False,False,2025-12-07 16:50:40.571790,2025-07-15 16:50:40.571793,63,Mock Data
DEAL_0018,Deal 18,CUST_1773,7.99,Qualification,Sales Pipeline,False,False,2025-11-11 16:50:40.571816,2025-08-30 16:50:40.571826,80,Mock Data
DEAL_0019,Deal 19,CUST_1276,111.81,Closed Lost,Sales Pipeline,True,False,2025-11-10 16:50:40.571851,2025-06-17 16:50:40.571854,0,Mock Data
DEAL_0020,Deal 20,CUST_2111,1025.01,Proposal,Partnership Pipeline,False,False,2025-12-12 16:50:40.571875,2025-06-14 16:50:40.571878,23,Mock Data
DEAL_0021,Deal 21,CUST_3645,1347.3,Proposal,Consulting Pipeline,False,False,2025-12-15 16:50:40.571900,2025-10-02 16:50:40.571903,62,Mock Data
DEAL_0022,Deal 22,CUST_1936,2604.8,Prospecting,Sales Pipeline,False,False,2025-12-18 16:50:40.571926,2025-09-28 16:50:40.571929,43,Mock Data
DEAL_0023,Deal 23,CUST_4038,124295.52,Negotiation,Partnership Pipeline,False,False,2025-11-29 16:50:40.571952,2025-07-18 16:50:40.571955,77,Mock Data
DEAL_0024,Deal 24,CUST_4024,11146.01,Negotiation,Sales Pipeline,False,False,2025-12-27 16:50:40.571978,2025-11-26 16:50:40.571981,27,Mock Data
DEAL_0025,Deal 25,CUST_1524,2990.72,Closed Won,Consulting Pipeline,True,True,2025-09-16 16:50:40.572004,2025-09-18 16:50:40.572007,100,Mock Data
DEAL_0026,Deal 26,CUST_3055,20939.34,Qualification,Consulting Pipeline,False,False,2025-12-02 16:50:40.572028,2025-09-27 16:50:40.572031,86,Mock Data
DEAL_0027,Deal 27,CUST_1475,16897.91,Qualification,Partnership Pipeline,False,False,2026-01-04 16:50:40.572054,2025-08-20 16:50:40.572057,53,Mock Data
DEAL_0028,Deal 28,CUST_0822,3865.51,Proposal,Consulting Pipeline,False,False,2025-12-31 16:50:40.572080,2025-07-15 16:50:40.572083,87,Mock Data
DEAL_0029,Deal 29,CUST_2787,7762.32,Prospecting,Partnership Pipeline,False,False,2026-01-02 16:50:40.572106,2025-10-19 16:50:40.572109,54,Mock Data
DEAL_0030,Deal 30,CUST_2678,2931.42,Closed Lost,Sales Pipeline,True,False,2025-09-14 16:50:40.572133,2025-07-30 16:50:40.572136,0,Mock Data
DEAL_0031,Deal 31,CUST_1457,3534.15,Closed Won,Partnership Pipeline,True,True,2025-09-11 16:50:40.572156,2025-09-29 16:50:40.572159,100,Mock Data
DEAL_0032,Deal 32,CUST_4867,597.89,Prospecting,Consulting Pipeline,False,False,2025-11-25 16:50:40.572179,2025-07-28 16:50:40.572182,44,Mock Data
DEAL_0033,Deal 33,CUST_1366,17396.16,Negotiation,Consulting Pipeline,False,False,2025-12-31 16:50:40.572204,2025-07-01 16:50:40.572207,58,Mock Data
DEAL_0034,Deal 34,CUST_4220,111983.77,Prospecting,Consulting Pipeline,False,False,2025-11-25 16:50:40.572230,2025-08-24 16:50:40.572233,62,Mock Data
DEAL_0035,Deal 35,CUST_1015,34.35,Prospecting,Consulting Pipeline,False,False,2025-11-10 16:50:40.572255,2025-09-10 16:50:40.572258,47,Mock Data
DEAL_0036,Deal 36,CUST_4106,3394.49,Negotiation,Sales Pipeline,False,False,2025-12-19 16:50:40.572280,2025-06-21 16:50:40.572283,30,Mock Data
DEAL_0037,Deal 37,CUST_1336,2737.27,Proposal,Partnership Pipeline,False,False,2025-12-04 16:50:40.572305,2025-07-30 16:50:40.572308,76,Mock Data
DEAL_0038,Deal 38,CUST_2033,1769.39,Closed Lost,Sales Pipeline,True,False,2025-10-10 16:50:40.572330,2025-08-16 16:50:40.572333,0,Mock Data
DEAL_0039,Deal 39,CUST_1647,98.08,Prospecting,Consulting Pipeline,False,False,2025-12-01 16:50:40.572354,2025-09-01 16:50:40.572357,51,Mock Data
DEAL_0040,Deal 40,CUST_1352,113.04,Qualification,Partnership Pipeline,False,False,2026-01-02 16:50:40.572379,2025-10-19 16:50:40.572382,58,Mock Data
DEAL_0041,Deal 41,CUST_2801,1299.15,Proposal,Partnership Pipeline,False,False,2025-11-17 16:50:40.572404,2025-08-13 16:50:40.572407,58,Mock Data
DEAL_0042,Deal 42,CUST_1626,1856.37,Negotiation,Partnership Pipeline,False,False,2026-01-01 16:50:40.572429,2025-11-26 16:50:40.572432,85,Mock Data
DEAL_0043,Deal 43,CUST_4845,10756.35,Closed Lost,Sales Pipeline,True,False,2025-09-23 16:50:40.572454,2025-12-03 16:50:40.572457,0,Mock Data
DEAL_0044,Deal 44,CUST_0740,47632.1,Negotiation,Sales Pipeline,False,False,2025-12-05 16:50:40.572479,2025-10-02 16:50:40.572482,30,Mock Data
DEAL_0045,Deal 45,CUST_1590,4482.86,Closed Won,Consulting Pipeline,True,True,2025-12-02 16:50:40.572504,2025-11-22 16:50:40.572507,100,Mock Data
DEAL_0046,Deal 46,CUST_0474,19845.93,Closed Won,Sales Pipeline,True,True,2025-11-14 16:50:40.572527,2025-10-18 16:50:40.572530,100,Mock Data
DEAL_0047,Deal 47,CUST_2502,440.79,Prospecting,Partnership Pipeline,False,False,2025-12-20 16:50:40.572551,2025-12-05 16:50:40.572554,23,Mock Data
DEAL_0048,Deal 48,CUST_3896,3481.75,Negotiation,Consulting Pipeline,False,False,2025-11-21 16:50:40.572576,2025-10-04 16:50:40.572579,44,Mock Data
DEAL_0049,Deal 49,CUST_4687,8771.34,Proposal,Consulting Pipeline,False,False,2025-12-09 16:50:40.572601,2025-07-23 16:50:40.572604,81,Mock Data
DEAL_0050,Deal 50,CUST_3231,22847.13,Proposal,Partnership Pipeline,False,False,2025-11-26 16:50:40.572626,2025-09-26 16:50:40.572629,69,Mock Data
DEAL_0051,Deal 51,CUST_0446,158738.45,Closed Won,Partnership Pipeline,True,True,2025-09-14 16:50:40.572651,2025-06-13 16:50:40.572654,100,Mock Data
DEAL_0052,Deal 52,CUST_3224,26355.51,Closed Lost,Consulting Pipeline,True,False,2025-10-13 16:50:40.572674,2025-08-25 16:50:40.572677,0,Mock Data
DEAL_0053,Deal 53,CUST_3905,9297.88,Prospecting,Sales Pipeline,False,False,2025-11-29 16:50:40.572697,2025-10-04 16:50:40.572700,27,Mock Data
DEAL_0054,Deal 54,CUST_3751,2581.15,Qualification,Partnership Pipeline,False,False,2025-12-16 16:50:40.572722,2025-10-27 16:50:40.572725,37,Mock Data
DEAL_0055,Deal 55,CUST_3904,650.34,Prospecting,Consulting Pipeline,False,False,2026-01-07 16:50:40.572747,2025-08-11 16:50:40.572750,50,Mock Data
DEAL_0056,Deal 56,CUST_2762,107283.15,Closed Lost,Partnership Pipeline,True,False,2025-11-04 16:50:40.572773,2025-11-03 16:50:40.572776,0,Mock Data
DEAL_0057,Deal 57,CUST_1500,1868.38,Closed Won,Sales Pipeline,True,True,2025-09-25 16:50:40.572796,2025-11-30 16:50:40.572799,100,Mock Data
DEAL_0058,Deal 58,CUST_2969,57.5,Qualification,Sales Pipeline,False,False,2025-12-23 16:50:40.572820,2025-07-03 16:50:40.572823,24,Mock Data
DEAL_0059,Deal 59,CUST_1350,246.69,Prospecting,Partnership Pipeline,False,False,2026-01-02 16:50:40.572845,2025-10-26 16:50:40.572848,56,Mock Data
DEAL_0060,Deal 60,CUST_1240,6714.18,Prospecting,Consulting Pipeline,False,False,2025-11-10 16:50:40.572870,2025-08-19 16:50:40.572873,73,Mock Data
DEAL_0061,Deal 61,CUST_2767,706.53,Proposal,Partnership Pipeline,False,False,2025-12-19 16:50:40.572895,2025-10-17 16:50:40.572898,85,Mock Data
DEAL_0062,Deal 62,CUST_3287,571.19,Qualification,Consulting Pipeline,False,False,2025-11-10 16:50:40.572931,2025-08-29 16:50:40.572936,23,Mock Data
DEAL_0063,Deal 63,CUST_4570,24.62,Closed Won,Sales Pipeline,True,True,2025-10-25 16:50:40.572961,2025-10-25 16:50:40.572964,100,Mock Data
DEAL_0064,Deal 64,CUST_2066,21651.89,Closed Lost,Consulting Pipeline,True,False,2025-09-27 16:50:40.572985,2025-07-03 16:50:40.572987,0,Mock Data
DEAL_0065,Deal 65,CUST_1761,978.67,Proposal,Partnership Pipeline,False,False,2025-12-25 16:50:40.573008,2025-06-14 16:50:40.573011,71,Mock Data
DEAL_0066,Deal 66,CUST_2374,443.52,Closed Lost,Sales Pipeline,True,False,2025-10-07 16:50:40.573034,2025-06-18 16:50:40.573037,0,Mock Data
DEAL_0067,Deal 67,CUST_0058,1666.33,Negotiation,Partnership Pipeline,False,False,2025-12-02 16:50:40.573058,2025-11-29 16:50:40.573061,51,Mock Data
DEAL_0068,Deal 68,CUST_0191,2371.74,Proposal,Sales Pipeline,False,False,2025-12-30 16:50:40.573083,2025-11-29 16:50:40.573085,76,Mock Data
DEAL_0069,Deal 69,CUST_3148,471.08,Closed Lost,Sales Pipeline,True,False,2025-10-22 16:50:40.573107,2025-09-20 16:50:40.573110,0,Mock Data
DEAL_0070,Deal 70,CUST_3158,6455.83,Negotiation,Sales Pipeline,False,False,2025-12-28 16:50:40.573131,2025-11-24 16:50:40.573134,66,Mock Data
DEAL_0071,Deal 71,CUST_1527,11526.82,Prospecting,Partnership Pipeline,False,False,2025-11-10 16:50:40.573157,2025-11-13 16:50:40.573160,42,Mock Data
DEAL_0072,Deal 72,CUST_2063,3324.74,Closed Won,Sales Pipeline,True,True,2025-11-22 16:50:40.573182,2025-11-05 16:50:40.573185,100,Mock Data
DEAL_0073,Deal 73,CUST_3385,5312.99,Proposal,Partnership Pipeline,False,False,2025-12-24 16:50:40.573205,2025-11-15 16:50:40.573208,89,Mock Data
DEAL_0074,Deal 74,CUST_2466,784.87,Qualification,Sales Pipeline,False,False,2025-12-02 16:50:40.573230,2025-09-25 16:50:40.573233,45,Mock Data
DEAL_0075,Deal 75,CUST_1419,6329.8,Prospecting,Sales Pipeline,False,False,2025-12-03 16:50:40.573256,2025-09-18 16:50:40.573259,52,Mock Data
DEAL_0076,Deal 76,CUST_1102,160.66,Proposal,Sales Pipeline,False,False,2025-11-24 16:50:40.573281,2025-11-02 16:50:40.573284,75,Mock Data
DEAL_0077,Deal 77,CUST_0859,29.52,Prospecting,Consulting Pipeline,False,False,2026-01-07 16:50:40.573306,2025-07-18 16:50:40.573309,85,Mock Data
DEAL_0078,Deal 78,CUST_4866,25.94,Closed Won,Consulting Pipeline,True,True,2025-11-12 16:50:40.573332,2025-10-28 16:50:40.573335,100,Mock Data
DEAL_0079,Deal 79,CUST_0248,1754.62,Proposal,Partnership Pipeline,False,False,2025-12-25 16:50:40.573355,2025-10-18 16:50:40.573358,65,Mock Data
DEAL_0080,Deal 80,CUST_1014,114.87,Closed Lost,Partnership Pipeline,True,False,2025-09-11 16:50:40.573380,2025-08-07 16:50:40.573382,0,Mock Data
DEAL_0081,Deal 81,CUST_3431,150.16,Negotiation,Partnership Pipeline,False,False,2026-01-04 16:50:40.573403,2025-06-18 16:50:40.573406,79,Mock Data
DEAL_0082,Deal 82,CUST_0718,16490.6,Negotiation,Consulting Pipeline,False,False,2025-12-28 16:50:40.573428,2025-08-21 16:50:40.573431,19,Mock Data
DEAL_0083,Deal 83,CUST_0371,677.32,Negotiation,Consulting Pipeline,False,False,2025-11-20 16:50:40.573452,2025-07-08 16:50:40.573455,16,Mock Data
DEAL_0084,Deal 84,CUST_0378,72.24,Closed Lost,Sales Pipeline,True,False,2025-12-04 16:50:40.573477,2025-09-12 16:50:40.573479,0,Mock Data
DEAL_0085,Deal 85,CUST_0799,233.7,Qualification,Partnership Pipeline,False,False,2026-01-03 16:50:40.573500,2025-08-12 16:50:40.573503,31,Mock Data
DEAL_0086,Deal 86,CUST_3983,4652.0,Prospecting,Consulting Pipeline,False,False,2025-11-28 16:50:40.573524,2025-06-20 16:50:40.573527,82,Mock Data
DEAL_0087,Deal 87,CUST_2374,1773.55,Prospecting,Partnership Pipeline,False,False,2025-12-20 16:50:40.573549,2025-07-20 16:50:40.573552,73,Mock Data
DEAL_0088,Deal 88,CUST_2259,4142.99,Closed Won,Sales Pipeline,True,True,2025-11-22 16:50:40.573573,2025-11-12 16:50:40.573576,100,Mock Data
DEAL_0089,Deal 89,CUST_1408,13329.06,Closed Lost,Partnership Pipeline,True,False,2025-10-25 16:50:40.573596,2025-06-30 16:50:40.573599,0,Mock Data
DEAL_0090,Deal 90,CUST_0341,54367.97,Closed Lost,Consulting Pipeline,True,False,2025-09-18 16:50:40.573619,2025-08-27 16:50:40.573622,0,Mock Data
DEAL_0091,Deal 91,CUST_2116,4564.95,Qualification,Sales Pipeline,False,False,2025-12-17 16:50:40.573642,2025-11-07 16:50:40.573645,31,Mock Data
DEAL_0092,Deal 92,CUST_4685,2309.33,Closed Won,Partnership Pipeline,True,True,2025-10-19 16:50:40.573666,2025-08-10 16:50:40.573669,100,Mock Data
DEAL_0093,Deal 93,CUST_4616,5855.48,Prospecting,Partnership Pipeline,False,False,2025-11-23 16:50:40.573689,2025-09-18 16:50:40.573692,33,Mock Data
DEAL_0094,Deal 94,CUST_4806,15983.15,Closed Won,Consulting Pipeline,True,True,2025-09-17 16:50:40.573715,2025-11-03 16:50:40.573717,100,Mock Data
DEAL_0095,Deal 95,CUST_0589,11830.63,Closed Won,Sales Pipeline,True,True,2025-10-22 16:50:40.573737,2025-08-20 16:50:40.573740,100,Mock Data
DEAL_0096,Deal 96,CUST_2398,15065.38,Qualification,Consulting Pipeline,False,False,2025-12-14 16:50:40.573760,2025-12-04 16:50:40.573763,16,Mock Data
DEAL_0097,Deal 97,CUST_4088,17333.41,Negotiation,Consulting Pipeline,False,False,2025-11-29 16:50:40.573784,2025-06-29 16:50:40.573787,62,Mock Data
DEAL_0098,Deal 98,CUST_3712,2994.17,Negotiation,Consulting Pipeline,False,False,2025-12-03 16:50:40.573809,2025-09-20 16:50:40.573812,63,Mock Data
DEAL_0099,Deal 99,CUST_3794,2416.04,Prospecting,Consulting Pipeline,False,False,2025-11-18 16:50:40.573834,2025-08-18 16:50:40.573836,81,Mock Data
DEAL_0100,Deal 100,CUST_0369,578.42,Prospecting,Partnership Pipeline,False,False,2025-11-25 16:50:40.573859,2025-10-28 16:50:40.573862,65,Mock Data
DEAL_0101,Deal 101,CUST_4724,1009.55,Closed Won,Consulting Pipeline,True,True,2025-11-29 16:50:40.573883,2025-07-10 16:50:40.573886,100,Mock Data
DEAL_0102,Deal 102,CUST_2279,3712.03,Qualification,Consulting Pipeline,False,False,2026-01-05 16:50:40.573905,2025-11-01 16:50:40.573908,15,Mock Data
DEAL_0103,Deal 103,CUST_3505,60985.2,Proposal,Sales Pipeline,False,False,2025-11-27 16:50:40.573929,2025-12-02 16:50:40.573932,23,Mock Data
DEAL_0104,Deal 104,CUST_3081,57.62,Closed Lost,Partnership Pipeline,True,False,2025-11-24 16:50:40.573953,2025-09-27 16:50:40.573955,0,Mock Data
DEAL_0105,Deal 105,CUST_1192,4952.27,Proposal,Consulting Pipeline,False,False,2025-12-19 16:50:40.573975,2025-07-06 16:50:40.573977,39,Mock Data
DEAL_0106,Deal 106,CUST_1597,21874.63,Closed Won,Partnership Pipeline,True,True,2025-11-09 16:50:40.573998,2025-10-11 16:50:40.574001,100,Mock Data
DEAL_0107,Deal 107,CUST_4522,12989.15,Proposal,Sales Pipeline,False,False,2025-11-10 16:50:40.574020,2025-10-21 16:50:40.574023,47,Mock Data
DEAL_0108,Deal 108,CUST_3793,63.9,Closed Lost,Partnership Pipeline,True,False,2025-10-02 16:50:40.574044,2025-09-28 16:50:40.574047,0,Mock Data
DEAL_0109,Deal 109,CUST_4224,7259.42,Qualification,Partnership Pipeline,False,False,2026-01-02 16:50:40.574067,2025-09-14 16:50:40.574069,41,Mock Data
DEAL_0110,Deal 110,CUST_4302,2183.95,Closed Lost,Consulting Pipeline,True,False,2025-11-11 16:50:40.574091,2025-10-13 16:50:40.574094,0,Mock Data
DEAL_0111,Deal 111,CUST_3600,877.4,Prospecting,Partnership Pipeline,False,False,2025-11-26 16:50:40.574113,2025-06-24 16:50:40.574116,89,Mock Data
DEAL_0112,Deal 112,CUST_2051,522942.25,Closed Won,Sales Pipeline,True,True,2025-11-05 16:50:40.574138,2025-07-09 16:50:40.574140,100,Mock Data
DEAL_0113,Deal 113,CUST_4050,6180.67,Proposal,Sales Pipeline,False,False,2025-12-22 16:50:40.574162,2025-10-18 16:50:40.574167,48,Mock Data
DEAL_0114,Deal 114,CUST_1153,15053.88,Proposal,Partnership Pipeline,False,False,2026-01-02 16:50:40.574196,2025-08-30 16:50:40.574199,88,Mock Data
DEAL_0115,Deal 115,CUST_2427,1536.81,Closed Won,Partnership Pipeline,True,True,2025-09-22 16:50:40.574221,2025-06-24 16:50:40.574223,100,Mock Data
DEAL_0116,Deal 116,CUST_1046,20113.89,Closed Lost,Consulting Pipeline,True,False,2025-12-02 16:50:40.574243,2025-07-01 16:50:40.574245,0,Mock Data
DEAL_0117,Deal 117,CUST_4989,1883.93,Closed Lost,Partnership Pipeline,True,False,2025-09-13 16:50:40.574265,2025-07-18 16:50:40.574267,0,Mock Data
DEAL_0118,Deal 118,CUST_3942,5922.1,Closed Lost,Sales Pipeline,True,False,2025-10-15 16:50:40.574287,2025-11-17 16:50:40.574289,0,Mock Data
DEAL_0119,Deal 119,CUST_3211,86.65,Qualification,Consulting Pipeline,False,False,2026-01-05 16:50:40.574309,2025-09-12 16:50:40.574312,44,Mock Data
DEAL_0120,Deal 120,CUST_4902,2919.43,Proposal,Consulting Pipeline,False,False,2025-12-16 16:50:40.574333,2025-11-02 16:50:40.574335,22,Mock Data
DEAL_0121,Deal 121,CUST_0835,733.14,Qualification,Sales Pipeline,False,False,2025-12-18 16:50:40.574357,2025-09-21 16:50:40.574360,58,Mock Data
DEAL_0122,Deal 122,CUST_1161,44980.05,Proposal,Partnership Pipeline,False,False,2025-12-16 16:50:40.574381,2025-10-05 16:50:40.574384,81,Mock Data
DEAL_0123,Deal 123,CUST_0735,811.88,Closed Lost,Consulting Pipeline,True,False,2025-09-18 16:50:40.574405,2025-11-20 16:50:40.574407,0,Mock Data
DEAL_0124,Deal 124,CUST_0383,11558.3,Closed Won,Consulting Pipeline,True,True,2025-11-30 16:50:40.574427,2025-06-18 16:50:40.574429,100,Mock Data
DEAL_0125,Deal 125,CUST_2907,1176.76,Proposal,Sales Pipeline,False,False,2025-12-08 16:50:40.574450,2025-08-21 16:50:40.574453,21,Mock Data
DEAL_0126,Deal 126,CUST_0837,9213.93,Proposal,Sales Pipeline,False,False,2026-01-04 16:50:40.574473,2025-09-10 16:50:40.574476,25,Mock Data
DEAL_0127,Deal 127,CUST_4788,467.66,Closed Lost,Partnership Pipeline,True,False,2025-11-09 16:50:40.574496,2025-07-03 16:50:40.574499,0,Mock Data
DEAL_0128,Deal 128,CUST_2997,36.61,Closed Lost,Sales Pipeline,True,False,2025-11-17 16:50:40.574517,2025-07-27 16:50:40.574520,0,Mock Data
DEAL_0129,Deal 129,CUST_3494,99382.53,Proposal,Sales Pipeline,False,False,2025-11-19 16:50:40.574539,2025-06-15 16:50:40.574542,30,Mock Data
DEAL_0130,Deal 130,CUST_3773,29288.31,Closed Lost,Sales Pipeline,True,False,2025-11-26 16:50:40.574588,2025-11-26 16:50:40.574591,0,Mock Data
DEAL_0131,Deal 131,CUST_4568,213846.74,Closed Won,Sales Pipeline,True,True,2025-10-01 16:50:40.574610,2025-10-07 16:50:40.574612,100,Mock Data
DEAL_0132,Deal 132,CUST_1571,948.78,Negotiation,Consulting Pipeline,False,False,2025-12-13 16:50:40.574631,2025-09-19 16:50:40.574634,68,Mock Data
DEAL_0133,Deal 133,CUST_0902,2154.43,Proposal,Partnership Pipeline,False,False,2025-12-15 16:50:40.574655,2025-08-21 16:50:40.574658,20,Mock Data
DEAL_0134,Deal 134,CUST_1957,12515.85,Proposal,Consulting Pipeline,False,False,2025-12-27 16:50:40.574678,2025-06-30 16:50:40.574681,10,Mock Data
DEAL_0135,Deal 135,CUST_4602,272.67,Prospecting,Sales Pipeline,False,False,2025-12-30 16:50:40.574704,2025-08-10 16:50:40.574706,79,Mock Data
DEAL_0136,Deal 136,CUST_1419,717.65,Qualification,Consulting Pipeline,False,False,2025-11-14 16:50:40.574727,2025-07-29 16:50:40.574730,46,Mock Data
DEAL_0137,Deal 137,CUST_1868,3262.64,Negotiation,Partnership Pipeline,False,False,2025-11-11 16:50:40.574751,2025-08-24 16:50:40.574754,33,Mock Data
DEAL_0138,Deal 138,CUST_3473,1362.72,Prospecting,Sales Pipeline,False,False,2025-12-12 16:50:40.574775,2025-08-23 16:50:40.574777,73,Mock Data
DEAL_0139,Deal 139,CUST_3458,987.57,Closed Won,Consulting Pipeline,True,True,2025-11-16 16:50:40.574798,2025-09-15 16:50:40.574800,100,Mock Data
DEAL_0140,Deal 140,CUST_0758,100037.87,Qualification,Partnership Pipeline,False,False,2025-12-16 16:50:40.574819,2025-09-22 16:50:40.574822,56,Mock Data
DEAL_0141,Deal 141,CUST_3822,9641.66,Qualification,Sales Pipeline,False,False,2025-12-07 16:50:40.574843,2025-12-02 16:50:40.574846,31,Mock Data
DEAL_0142,Deal 142,CUST_3896,7483.72,Prospecting,Sales Pipeline,False,False,2025-12-31 16:50:40.574867,2025-07-22 16:50:40.574869,59,Mock Data
DEAL_0143,Deal 143,CUST_3976,1704.02,Proposal,Partnership Pipeline,False,False,2026-01-05 16:50:40.574890,2025-10-29 16:50:40.574893,43,Mock Data
DEAL_0144,Deal 144,CUST_1584,985.02,Closed Lost,Sales Pipeline,True,False,2025-11-21 16:50:40.574914,2025-08-17 16:50:40.574917,0,Mock Data
DEAL_0145,Deal 145,CUST_0556,165.71,Qualification,Sales Pipeline,False,False,2025-12-05 16:50:40.574946,2025-07-03 16:50:40.574949,89,Mock Data
DEAL_0146,Deal 146,CUST_4746,560.92,Closed Lost,Partnership Pipeline,True,False,2025-12-08 16:50:40.574971,2025-11-09 16:50:40.574974,0,Mock Data
DEAL_0147,Deal 147,CUST_4535,5599.95,Closed Lost,Sales Pipeline,True,False,2025-12-03 16:50:40.575007,2025-10-21 16:50:40.575010,0,Mock Data
DEAL_0148,Deal 148,CUST_3381,22381.42,Closed Lost,Sales Pipeline,True,False,2025-11-21 16:50:40.575033,2025-12-05 16:50:40.575035,0,Mock Data
DEAL_0149,Deal 149,CUST_4529,1408.85,Negotiation,Sales Pipeline,False,False,2025-11-25 16:50:40.575057,2025-09-09 16:50:40.575060,34,Mock Data
DEAL_0150,Deal 150,CUST_1823,3962.08,Qualification,Partnership Pipeline,False,False,2025-11-20 16:50:40.575085,2025-10-13 16:50:40.575088,34,Mock Data
DEAL_0151,Deal 151,CUST_0176,16747.78,Qualification,Partnership Pipeline,False,False,2026-01-02 16:50:40.575113,2025-07-29 16:50:40.575116,10,Mock Data
DEAL_0152,Deal 152,CUST_1672,120678.52,Closed Won,Partnership Pipeline,True,True,2025-10-08 16:50:40.575140,2025-09-05 16:50:40.575144,100,Mock Data
DEAL_0153,Deal 153,CUST_4511,6216.75,Negotiation,Sales Pipeline,False,False,2025-12-02 16:50:40.575166,2025-07-12 16:50:40.575169,12,Mock Data
DEAL_0154,Deal 154,CUST_4390,225.82,Closed Lost,Sales Pipeline,True,False,2025-09-13 16:50:40.575194,2025-12-06 16:50:40.575198,0,Mock Data
DEAL_0155,Deal 155,CUST_0056,27400.65,Closed Won,Partnership Pipeline,True,True,2025-09-29 16:50:40.575225,2025-07-01 16:50:40.575228,100,Mock Data
DEAL_0156,Deal 156,CUST_0119,2554.22,Proposal,Partnership Pipeline,False,False,2025-12-01 16:50:40.575252,2025-09-14 16:50:40.575255,51,Mock Data
DEAL_0157,Deal 157,CUST_3948,31054.61,Closed Lost,Consulting Pipeline,True,False,2025-09-14 16:50:40.575282,2025-12-09 16:50:40.575285,0,Mock Data
DEAL_0158,Deal 158,CUST_0440,12372.57,Proposal,Partnership Pipeline,False,False,2026-01-04 16:50:40.575308,2025-10-10 16:50:40.575311,37,Mock Data
DEAL_0159,Deal 159,CUST_2069,17185.0,Qualification,Consulting Pipeline,False,False,2025-11-24 16:50:40.575343,2025-09-12 16:50:40.575346,32,Mock Data
DEAL_0160,Deal 160,CUST_3833,29847.06,Proposal,Consulting Pipeline,False,False,2025-12-18 16:50:40.575375,2025-11-18 16:50:40.575378,24,Mock Data
DEAL_0161,Deal 161,CUST_3827,9625.72,Prospecting,Sales Pipeline,False,False,2025-11-23 16:50:40.575404,2025-07-16 16:50:40.575407,51,Mock Data
DEAL_0162,Deal 162,CUST_3951,13.59,Proposal,Partnership Pipeline,False,False,2025-11-19 16:50:40.575428,2025-12-08 16:50:40.575431,85,Mock Data
DEAL_0163,Deal 163,CUST_0768,3411.88,Closed Lost,Consulting Pipeline,True,False,2025-11-26 16:50:40.575453,2025-10-29 16:50:40.575455,0,Mock Data
