date,disaster_type,event_name,location,impact_area,severity_level,title,source,category,wind_speed,rainfall,casualties,damages,damages_normalized,url,scrape_time
2025-10-01,"Bão, áp thấp nhiệt đới",Bão Bualoi,"Biển Đông, Hoàng Sa, Quảng Trị, Lào Cai, Phú Thọ","Biển Đông, Hoàng Sa, Quảng Trị, Lào Cai, Phú Thọ",Rất nghiêm trọng,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 82, giật cấp 9",,"29 người chết, 139 người bị thương, 22 người mất tích",,,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4945937.html,2025-12-06T13:31:17.986206
2025-09-06,"Bão, áp thấp nhiệt đới",,"Thanh Hóa, Hà Tĩnh, Hoàng Sa, Bắc Bộ, Quảng Ninh","Thanh Hóa, Hà Tĩnh, Hoàng Sa, Bắc Bộ, Quảng Ninh",Nhẹ,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 12",,"9 người chết, 77 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4935997.html,2025-12-06T13:31:19.440032
2025-09-17,"Bão, áp thấp nhiệt đới",Bão Tapah,"Trung Bộ, Nghệ An, Biển Đông, Hà Tĩnh, Quảng Trị","Trung Bộ, Nghệ An, Biển Đông, Hà Tĩnh, Quảng Trị",Trung bình,Áp thấp nhiệt đới đêm nay vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 9",,,,,https://vnexpress.net/ap-thap-nhiet-doi-dem-nay-vao-bien-dong-4940369.html,2025-12-06T13:31:20.942265
2025-07-23,"Bão, áp thấp nhiệt đới",,"Hưng Yên, Quảng Ninh, Thanh Hóa, Biển Đông, Nghệ An","Hưng Yên, Quảng Ninh, Thanh Hóa, Biển Đông, Nghệ An",Rất nghiêm trọng,Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 72, giật cấp 10",,5 người bị thương,,,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4918126.html,2025-12-06T13:31:22.261601
2025-10-18,"Bão, áp thấp nhiệt đới",Bão Wutip,"Lâm Đồng, Biển Đông, Hoàng Sa, Miền Bắc, Quảng Ninh","Lâm Đồng, Biển Đông, Hoàng Sa, Miền Bắc, Quảng Ninh",Rất nghiêm trọng,Áp thấp nhiệt đới gần Biển Đông mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 72, giật cấp 10",,"241 người chết, 389 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-gan-bien-dong-manh-len-thanh-bao-4952806.html,2025-12-06T13:31:23.519494
2025-11-27,"Bão, áp thấp nhiệt đới",,"Bình Dương, Thái Bình, Tây Nguyên, Miền Trung, Biển Đông","Bình Dương, Thái Bình, Tây Nguyên, Miền Trung, Biển Đông",Không xác định,Vì sao Biển Đông nhiều bão nhất trong 30 năm qua?,VnExpress,Thiên tai khí tượng – thủy văn,,,"409 người chết, 727 người bị thương",,,https://vnexpress.net/vi-sao-bien-dong-nhieu-bao-nhat-trong-30-nam-qua-4986715.html,2025-12-06T13:31:25.261932
2025-10-22,"Bão, áp thấp nhiệt đới",Bão Wutip,"Miền Bắc, Biển Đông, Hoàng Sa","Miền Bắc, Biển Đông, Hoàng Sa",Nhẹ,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",,"241 người chết, 389 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4954588.html,2025-12-06T13:31:26.827190
2025-08-29,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Thanh Hóa, Sơn La, Quảng Trị, Phú Thọ, Biển Đông","Thanh Hóa, Sơn La, Quảng Trị, Phú Thọ, Biển Đông",Trung bình,Hôm nay áp thấp nhiệt đới có khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 9",,"6 người chết, 47 người bị thương",,,https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-co-kha-nang-manh-len-thanh-bao-4932852.html,2025-12-06T13:31:28.217240
2025-11-07,"Bão, áp thấp nhiệt đới",,"Lâm Đồng, Biển Đông, Quảng Trị, Khánh Hòa, Đà Nẵng","Lâm Đồng, Biển Đông, Quảng Trị, Khánh Hòa, Đà Nẵng",Rất nghiêm trọng,Bão Kalmaegi suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 13, giật cấp 8",20-50 mm,,,,https://vnexpress.net/bao-kalmaegi-suy-yeu-thanh-ap-thap-nhiet-doi-4960982.html,2025-12-06T13:31:29.504914
2025-09-05,"Bão, áp thấp nhiệt đới",Bão Nongfa,"Thanh Hóa, Hà Tĩnh, Hoàng Sa, Quảng Ninh, Quảng Ngãi","Thanh Hóa, Hà Tĩnh, Hoàng Sa, Quảng Ninh, Quảng Ngãi",Nhẹ,"Áp thấp nhiệt đới ở Biển Đông, nguy cơ mạnh thành bão",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,"9 người chết, 77 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-o-bien-dong-nguy-co-manh-thanh-bao-4935710.html,2025-12-06T13:31:30.746653
2025-12-01,"Bão, áp thấp nhiệt đới",Bão Koto,"Đà Nẵng, Trung Bộ, Khánh Hòa, Gia Lai, Biển Đông","Đà Nẵng, Trung Bộ, Khánh Hòa, Gia Lai, Biển Đông",Nhẹ,Bão Koto suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",70-120 mm,,,,https://vnexpress.net/bao-koto-suy-yeu-thanh-ap-thap-nhiet-doi-4988377.html,2025-12-06T13:31:31.525272
2025-09-29,"Bão, áp thấp nhiệt đới",Bão Bualoi,"Hưng Yên, Lào Cai, Quảng Ninh, Thanh Hóa, Sơn La","Hưng Yên, Lào Cai, Quảng Ninh, Thanh Hóa, Sơn La",Nhẹ,Bão Bualoi suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 14",100-200 mm,"9 người chết, 18 người bị thương",,,https://vnexpress.net/bao-bualoi-suy-yeu-thanh-ap-thap-nhiet-doi-4944991.html,2025-12-06T13:31:32.878077
2025-10-17,"Bão, áp thấp nhiệt đới",Bão Wutip,"Miền Trung, Miền Bắc, Hoàng Sa, Biển Đông","Miền Trung, Miền Bắc, Hoàng Sa, Biển Đông",Trung bình,Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 9, giật cấp 9",,"241 người chết, 389 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4952642.html,2025-12-06T13:31:34.332577
2025-08-22,"Bão, áp thấp nhiệt đới",,"Thanh Hóa, Nghệ An, Hoàng Sa, Bắc Bộ, Trung Bộ","Thanh Hóa, Nghệ An, Hoàng Sa, Bắc Bộ, Trung Bộ",Nghiêm trọng,Áp thấp nhiệt đới hướng vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 8",,5 người bị thương,,,https://vnexpress.net/ap-thap-nhiet-doi-huong-vao-bien-dong-4930179.html,2025-12-06T13:31:35.767440
2025-08-30,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Bắc Ninh, Sơn La, Đà Nẵng, Trung Bộ, Nghệ An","Bắc Ninh, Sơn La, Đà Nẵng, Trung Bộ, Nghệ An",Nhẹ,"Áp thấp nhiệt đới mạnh lên thành bão, gây mưa cho miền Trung",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 10",150-300 mm,"6 người chết, 47 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-bat-dau-gay-mua-cho-mien-trung-4933333.html,2025-12-06T13:31:37.300750
2025-08-28,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Miền Bắc, Thanh Hóa, Sơn La, Quảng Trị, Yên Bái","Miền Bắc, Thanh Hóa, Sơn La, Quảng Trị, Yên Bái",Nhẹ,Áp thấp nhiệt đới hướng vào miền Trung,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 9",,"5 người chết, 47 người bị thương",,,https://vnexpress.net/ap-thap-nhiet-doi-huong-vao-mien-trung-4932447.html,2025-12-06T13:31:38.628646
2025-11-25,"Bão, áp thấp nhiệt đới",Bão Kajiki,"Biển Đông, Thái Nguyên, Quảng Trị, Quảng Ngãi, Hà Giang","Biển Đông, Thái Nguyên, Quảng Trị, Quảng Ngãi, Hà Giang",Nghiêm trọng,Bão lũ gây thiệt hại hơn 85.000 tỷ đồng,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 13",300-500 mm,"409 người chết, 727 người bị thương",,,https://vnexpress.net/bao-lu-gay-thiet-hai-hon-85-000-ty-dong-4985965.html,2025-12-06T13:31:39.952710
2025-10-02,"Bão, áp thấp nhiệt đới",Bão Matmo,"Hà Tĩnh, Hoàng Sa, Bắc Bộ, Quảng Ninh, Lâm Đồng","Hà Tĩnh, Hoàng Sa, Bắc Bộ, Quảng Ninh, Lâm Đồng",Rất nghiêm trọng,Áp thấp nhiệt đới gần Biển Đông mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 82, giật cấp 12",,"34 người chết, 22 người mất tích",,,https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-gan-bien-dong-se-manh-len-thanh-bao-4946180.html,2025-12-06T13:31:41.488117
2025-11-26,"Bão, áp thấp nhiệt đới",Bão Koto,"Đà Nẵng, Khánh Hòa, Gia Lai, Biển Đông, Trường Sa","Đà Nẵng, Khánh Hòa, Gia Lai, Biển Đông, Trường Sa",Nghiêm trọng,Hai kịch bản của bão Koto tác động đến nước ta,Dân Trí,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 10",,,,,https://dantri.com.vn/thoi-su/hai-kich-ban-cua-bao-koto-tac-dong-den-nuoc-ta-20251126104726403.htm,2025-12-06T13:30:51.227668
2025-11-25,"Bão, áp thấp nhiệt đới",,"Biển Đông, Miền Trung, Trung Bộ, Trường Sa","Biển Đông, Miền Trung, Trung Bộ, Trường Sa",Trung bình,Áp thấp nhiệt đới có thể vào Biển Đông đêm nay và mạnh lên thành bão,Dân Trí,Thiên tai khí tượng – thủy văn,"cấp 9, giật cấp 9",,,,,https://dantri.com.vn/thoi-su/ap-thap-nhiet-doi-co-the-vao-bien-dong-dem-nay-va-manh-len-thanh-bao-20251125064730134.htm,2025-12-06T13:30:52.176367
2025-11-26,"Bão, áp thấp nhiệt đới",Bão Koto,"Lâm Đồng, Trường Sa, Biển Đông, Khánh Hòa, Đà Nẵng","Lâm Đồng, Trường Sa, Biển Đông, Khánh Hòa, Đà Nẵng",Nghiêm trọng,"Bão Koto có thể đạt cực đại cấp 11, sẽ giảm cấp từ ngày 29/11",Dân Trí,Thiên tai khí tượng – thủy văn,"cấp 10, giật cấp 10",,,,,https://dantri.com.vn/thoi-su/bao-koto-co-the-dat-cuc-dai-cap-11-se-giam-cap-tu-ngay-2911-20251126194253539.htm,2025-12-06T13:30:53.918415
2020-09-30,"Bão, áp thấp nhiệt đới",,"Trung Bộ, Miền Bắc, Tây Nguyên, Biển Đông, Nam Bộ","Trung Bộ, Miền Bắc, Tây Nguyên, Biển Đông, Nam Bộ",Không xác định,"Bão, áp thấp nhiệt đới sẽ dồn dập xuất hiện trong tháng 10 và 11 năm nay",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/bao-ap-thap-nhiet-doi-se-don-dap-xuat-hien-trong-thang-10-va-11-20200930001559384.htm,2025-12-06T13:30:55.319503
