respondent_id,age_group,gender,income_level,education_level,brand_awareness,satisfaction,loyalty,monthly_spending,purchase_frequency,preferred_category,preferred_channel,pain_points,preferred_communication,nps_score,survey_date
R011,18-24,Female,$50K-$75K,Bachelor's,Low,Satisfied,Neutral,69.83,Monthly,Food & Beverage,Online,"[np.str_('Return difficulties'), np.str_('Lack of trust'), np.str_('Limited product variety'), np.str_('Limited payment options')]","[np.str_('Website'), np.str_('Mobile App')]",4.3,2025-11-19 12:18:18.522148
R012,25-34,Female,$25K-$50K,High School,Low,Satisfied,Very Loyal,136.45,Quarterly,Home & Garden,In-store,"[np.str_('High prices'), np.str_('Bad customer service')]","[np.str_('Social Media'), np.str_('SMS'), np.str_('Mobile App')]",6.6,2025-12-01 12:18:18.523307
R013,18-24,Male,$50K-$75K,Some College,Very Low,Dissatisfied,Loyal,171.51,Quarterly,Home & Garden,Online,[np.str_('Return difficulties')],"[np.str_('SMS'), np.str_('Email')]",6.7,2025-12-08 12:18:18.524574
R014,18-24,Male,Under $25K,High School,High,Neutral,Neutral,166.78,Monthly,Fashion,Mobile App,"[np.str_('Outdated website'), np.str_('Return difficulties'), np.str_('Limited payment options'), np.str_('Poor mobile experience')]","[np.str_('Website'), np.str_('Mobile App'), np.str_('SMS')]",5.2,2025-12-06 12:18:18.525407
R015,35-44,Male,$50K-$75K,Doctorate,Very High,Dissatisfied,Very Loyal,146.38,Monthly,Home & Garden,Mobile App,"[np.str_('Return difficulties'), np.str_('Slow delivery'), np.str_('High prices')]",[np.str_('SMS')],7.1,2025-11-29 12:18:18.528500
R016,45-54,Female,$25K-$50K,Master's,Very High,Satisfied,Loyal,173.59,Rarely,Electronics,Online,"[np.str_('Outdated website'), np.str_('Return difficulties'), np.str_('Limited payment options'), np.str_('Bad customer service'), np.str_('High prices')]","[np.str_('Email'), np.str_('Website')]",10.0,2025-11-19 12:18:18.529664
R017,25-34,Female,$25K-$50K,Bachelor's,High,Very Satisfied,Neutral,153.96,Quarterly,Home & Garden,In-store,"[np.str_('Bad customer service'), np.str_('Poor mobile experience'), np.str_('Return difficulties')]",[np.str_('Social Media')],3.6,2025-11-30 12:18:18.531144
R018,35-44,Male,$75K-$100K,Bachelor's,High,Satisfied,Anti-loyal,211.81,Quarterly,Fashion,Online,"[np.str_('Poor quality'), np.str_('Return difficulties'), np.str_('Limited product variety'), np.str_('Bad customer service')]","[np.str_('Website'), np.str_('Email'), np.str_('Mobile App')]",4.0,2025-11-16 12:18:18.532058
R019,55+,Female,Under $25K,Some College,High,Neutral,Loyal,47.01,Weekly,Electronics,Online,[np.str_('Poor mobile experience')],[np.str_('Mobile App')],7.5,2025-12-07 12:18:18.533154
R020,18-24,Male,$75K-$100K,Doctorate,Low,Satisfied,Not Loyal,160.85,Weekly,Fashion,Online,"[np.str_('Limited product variety'), np.str_('Poor mobile experience'), np.str_('Limited payment options'), np.str_('High prices'), np.str_('Outdated website')]","[np.str_('Social Media'), np.str_('Website')]",4.8,2025-11-17 12:18:18.534831
R021,35-44,Prefer not to say,$25K-$50K,Doctorate,Moderate,Dissatisfied,Loyal,133.27,Monthly,Electronics,In-store,"[np.str_('Poor mobile experience'), np.str_('Limited product variety')]","[np.str_('Email'), np.str_('Social Media'), np.str_('Mobile App')]",7.1,2025-12-07 12:18:18.535571
R022,25-34,Female,$25K-$50K,Bachelor's,High,Satisfied,Loyal,179.84,Quarterly,Home & Garden,Online,"[np.str_('Poor quality'), np.str_('Poor mobile experience'), np.str_('Slow delivery'), np.str_('Limited payment options'), np.str_('High prices')]","[np.str_('Email'), np.str_('Mobile App')]",4.1,2025-11-12 12:18:18.536431
R023,25-34,Male,$50K-$75K,Some College,Low,Satisfied,Not Loyal,115.39,Monthly,Health & Beauty,Online,"[np.str_('Limited product variety'), np.str_('Limited payment options'), np.str_('Poor mobile experience')]","[np.str_('Social Media'), np.str_('SMS'), np.str_('Mobile App')]",5.4,2025-12-03 12:18:18.537321
R024,35-44,Female,$25K-$50K,Master's,Moderate,Satisfied,Anti-loyal,137.79,Quarterly,Health & Beauty,In-store,"[np.str_('Bad customer service'), np.str_('Poor mobile experience')]","[np.str_('Website'), np.str_('Email')]",8.4,2025-11-27 12:18:18.538113
R025,25-34,Male,$25K-$50K,Doctorate,Moderate,Satisfied,Not Loyal,98.27,Quarterly,Food & Beverage,Online,"[np.str_('Lack of trust'), np.str_('Outdated website'), np.str_('Bad customer service'), np.str_('Return difficulties'), np.str_('Poor quality'), np.str_('Limited payment options')]","[np.str_('Mobile App'), np.str_('Social Media'), np.str_('SMS')]",0.8,2025-12-01 12:18:18.539219
