date,disaster_type,location,title,source,category,wind_speed,rainfall,casualties,damages,forecast,url,scrape_time
2025-09-18,"Bão, áp thấp nhiệt đới","Nghệ An, Hà Tĩnh, Quảng Trị, Biển Đông","Áp thấp nhiệt đới vào Biển Đông, sắp mạnh lên thành bão",VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết sáng nay áp thấp nhiệt đới trên vùng biển phía đông bắc khu vực Bắc Biển Đông, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9 và đang theo hướng tây bắc với tốc độ 20 km/h",https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-sap-manh-len-thanh-bao-4940474.html,2025-12-06T13:30:48.328402
2025-09-16,"Bão, áp thấp nhiệt đới","Nghệ An, Hà Tĩnh, Quảng Trị, Biển Đông",Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6-7, giật cấp 9",,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 13h hôm nay, áp thấp nhiệt đới trên vùng biển phía đông đảo Luzon, Philippines, sức gió mạnh nhất 61 km/h, cấp 6-7, giật cấp 9 và đang theo hướng bắc tây bắc với tốc độ khoảng 15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4939826.html,2025-12-06T13:30:49.708548
2025-11-25,"Bão, áp thấp nhiệt đới","Quảng Trị, Biển Đông, Trường Sa",Hôm nay áp thấp nhiệt đới khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,91 người chết,13.000 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 7h hôm nay, áp thấp nhiệt đới ở miền Trung Philippines, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9 và đang theo hướng tây tây bắc với tốc độ 20-25 km/h",https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-kha-nang-manh-len-thanh-bao-4985759.html,2025-12-06T13:30:51.174694
2025-08-27,"Bão, áp thấp nhiệt đới","Hà Nội, Thanh Hóa, Nghệ An, Hà Tĩnh, Biển Đông, Hoàng Sa",Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,5 người mất tích,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 10h, áp thấp nhiệt đới mạnh 49 km/h, cấp 6, giật cấp 8 và đang theo hướng tây tây nam với tốc độ 10-15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4932051.html,2025-12-06T13:30:52.413482
2025-06-10,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Hà Nội, Biển Đông, Hoàng Sa",Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,cấp 6,,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 4h, áp thấp nhiệt đới cách quần đảo Hoàng Sa khoảng 360 km về phía đông đông nam, sức gió mạnh nhất 49 km/h, cấp 6, giật tăng hai cấp và đang theo hướng tây với tốc độ 5 km/h",https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4896717.html,2025-12-06T13:30:53.865399
2015-02-03,"Bão, áp thấp nhiệt đới",Biển Đông,"Năm cơn bão, áp thấp nhiệt đới sẽ ảnh hưởng Việt Nam",VnExpress,Thiên tai khí tượng – thủy văn,,,,,"Sáng 3/2, ông Hoàng Đức Cường, Giám đốc Trung tâm dự báo khí tượng thủy văn trung ương, nhận định năm nay có khoảng 9-10 cơn bão, áp thấp nhiệt đới hoạt động trên biển Đông",https://vnexpress.net/nam-con-bao-ap-thap-nhiet-doi-se-anh-huong-viet-nam-3142857.html,2025-12-06T13:30:55.385499
2025-09-06,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Hà Tĩnh, Quảng Trị, Biển Đông, Hoàng Sa",Áp thấp nhiệt đới mạnh lên thành bão trong hôm nay,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,9 người chết,2.900 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 7h, áp thấp nhiệt đới trên vùng biển đông bắc Biển Đông, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9 và đang theo hướng tây bắc với tốc độ 10-15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-o-bien-dong-nguy-co-manh-thanh-bao-4935782.html,2025-12-06T13:30:57.252394
2025-11-25,"Bão, áp thấp nhiệt đới","Quảng Trị, Bình Định, Bình Thuận, Gia Lai, Lâm Đồng, Biển Đông, Trường Sa",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 10",,409 người chết,85.000 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 19h hôm nay, tâm bão (tên quốc tế là Koto) trên vùng biển phía tây của miền Trung Philippines, sức gió mạnh nhất 74 km/h, cấp 8, giật cấp 10 và đang theo hướng tây tây bắc với tốc độ 20-25 km/h",https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4986026.html,2025-12-06T13:30:58.907251
2011-04-01,"Bão, áp thấp nhiệt đới","Đà Nẵng, Biển Đông","Bão, áp thấp nhiệt đới năm nay nhiều hơn 2010",VnExpress,Thiên tai khí tượng – thủy văn,,,,,"Theo ông Bùi Minh Tăng, Giám đốc Trung tâm dự báo khí tượng thủy văn trung ương, năm nay trên biển Đông sẽ xuất hiện khoảng 10-12 cơn bão, áp thấp nhiệt đới",https://vnexpress.net/bao-ap-thap-nhiet-doi-nam-nay-nhieu-hon-2010-2191380.html,2025-12-06T13:31:00.858662
2025-08-16,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Nghệ An, Biển Đông, Hoàng Sa, vịnh Bắc Bộ",Áp thấp nhiệt đới hình thành trên Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",487 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 19h ngày 16/8, áp thấp nhiệt đới mạnh 49 km/h, cấp 6, giật cấp 8 và đang theo hướng tây bắc với tốc độ 10 km/h",https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-tren-bien-dong-4927759.html,2025-12-06T13:31:03.364103
2025-09-18,"Bão, áp thấp nhiệt đới","Nghệ An, Hà Tĩnh, Quảng Trị, Biển Đông",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 8,,,,"Theo Trung tâm Dự báo Khí tượng Thủy văn quốc gia, lúc 13h hôm nay, tâm bão ở vùng biển đông bắc khu vực Bắc Biển Đông, sức gió mạnh nhất 74 km/h (cấp 8), giật cấp 10, di chuyển hướng tây bắc với tốc độ 15-20 km/h",https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4940688.html,2025-12-06T13:31:05.283206
2025-06-11,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Hà Nội, Biển Đông, Hoàng Sa, Trường Sa",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 8,30-70 mm,,,"Theo Trung tâm Dự báo Khí tượng Thủy văn quốc gia, lúc 7h bão nằm trên vùng biển phía đông quần đảo Hoàng Sa, sức gió mạnh nhất 74 km/h (cấp 8), giật cấp 10, theo hướng tây bắc với tốc độ 5-10 km/h",https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4897240.html,2025-12-06T13:31:07.737443
2025-10-23,"Bão, áp thấp nhiệt đới","Nghệ An, Khánh Hòa, Biển Đông",Áp thấp nhiệt đới vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",,241 người chết,53.800 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết 13h hôm nay, áp thấp nhiệt đới mạnh 49 km/h, cấp 6, giật cấp 8 và đang theo hướng tây nam với tốc độ 25 km/h",https://vnexpress.net/ap-thap-nhiet-doi-vao-bien-dong-4954952.html,2025-12-06T13:31:09.080355
2025-09-25,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Hà Nội, Thanh Hóa, Nghệ An, Đà Nẵng, Biển Đông",Bão Ragasa suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,cấp 7,80-180 mm,15 người chết,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết 10h hôm nay, khi ở vùng biển Quảng Ninh, cách Móng Cái khoảng 40 km về phía đông, bão Ragasa suy yếu thành áp thấp nhiệt đới, sức gió tối đa 61 km/h, cấp 7, giật tăng hai cấp",https://vnexpress.net/bao-ragasa-suy-yeu-thanh-ap-thap-nhiet-doi-4943499.html,2025-12-06T13:31:11.743588
2025-11-29,"Bão, áp thấp nhiệt đới","Quảng Trị, Đà Nẵng, Khánh Hòa, Gia Lai, Biển Đông",Áp thấp nhiệt đới từ Ấn Độ Dương vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",70-150 mm,,85.000 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết đến 7h ngày mai, áp thấp nhiệt đới trên vùng biển tây nam của nam Biển Đông, sức gió cấp 7, giật cấp 9 và theo hướng đông đông bắc với tốc dộ 15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-tu-an-do-duong-vao-bien-dong-4987576.html,2025-12-06T13:31:12.756509
2025-08-26,"Bão, áp thấp nhiệt đới","Hà Nội, Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị, Đà Nẵng, Biển Đông, vịnh Bắc Bộ",Bão Kajiki suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",600 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 4h, áp thấp nhiệt đới mạnh 61 km/h, cấp 7, giật cấp 9 ở Trung Lào",https://vnexpress.net/bao-kajiki-suy-yeu-thanh-ap-thap-nhiet-doi-4931438.html,2025-12-06T13:31:14.425373
2025-07-22,"Bão, áp thấp nhiệt đới","Quảng Ninh, Hải Phòng, Hà Nội, Thanh Hóa, Nghệ An, Hà Tĩnh, Biển Đông, vịnh Bắc Bộ",Bão Wipha suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",100-200 mm,,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết sức gió áp thấp nhiệt đới cấp 7, giật cấp 9 tại khu vực Ninh Bình - Thanh Hóa",https://vnexpress.net/bao-wipha-suy-yeu-thanh-ap-thap-nhiet-doi-4917542.html,2025-12-06T13:31:16.185442
2025-10-01,"Bão, áp thấp nhiệt đới","Hà Nội, Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị, Gia Lai, Biển Đông, Hoàng Sa, vịnh Bắc Bộ",Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6-7, giật cấp 9",685 mm,29 người chết,8.010 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 10h hôm nay, áp thấp nhiệt đới ở trên vùng biển phía đông đảo Luzon (Philippines), sức gió mạnh nhất 61 km/h, cấp 6-7, giật cấp 9 và đang theo hướng tây tây bắc với tốc độ 15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4945937.html,2025-12-06T13:31:17.986206
2025-09-06,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Hà Tĩnh, Quảng Trị, Biển Đông, Hoàng Sa",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,cấp 8,,9 người chết,2.900 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 16h, bão tên quốc tế là Tapah trên vùng biển đông bắc Biển Đông, sức gió mạnh nhất 74 km/h, cấp 8, giật tăng hai cấp và đang theo hướng tây bắc với tốc độ 15 km/h",https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4935997.html,2025-12-06T13:31:19.440032
2025-09-17,"Bão, áp thấp nhiệt đới","Nghệ An, Hà Tĩnh, Quảng Trị, Biển Đông",Áp thấp nhiệt đới đêm nay vào Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,,,"Theo Trung tâm Dự báo Khí tượng Thủy văn quốc gia, lúc 19h ngày 17/9, áp thấp nhiệt đới ở vùng biển phía tây bắc đảo Luzon (Philippines), sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9, theo hướng tây bắc với tốc độ 15-20 km/h",https://vnexpress.net/ap-thap-nhiet-doi-dem-nay-vao-bien-dong-4940369.html,2025-12-06T13:31:20.942265
2025-07-23,"Bão, áp thấp nhiệt đới","Quảng Ninh, Thanh Hóa, Nghệ An, Biển Đông",Áp thấp nhiệt đới mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 10",487 mm,,,Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết cơn bão được đặt tên quốc tế là Cỏ May,https://vnexpress.net/ap-thap-nhiet-doi-manh-len-thanh-bao-4918126.html,2025-12-06T13:31:22.261601
2025-10-18,"Bão, áp thấp nhiệt đới","Quảng Ninh, Lâm Đồng, Biển Đông, Hoàng Sa",Áp thấp nhiệt đới gần Biển Đông mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 8, giật cấp 10",,241 người chết,53.800 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết 7h hôm nay, áp thấp nhiệt đới trên vùng biển phía đông miền Trung Philippines đã mạnh lên thành bão, có tên quốc tế là Fengshen",https://vnexpress.net/ap-thap-nhiet-doi-gan-bien-dong-manh-len-thanh-bao-4952806.html,2025-12-06T13:31:23.519494
2025-11-27,"Bão, áp thấp nhiệt đới",Biển Đông,Vì sao Biển Đông nhiều bão nhất trong 30 năm qua?,VnExpress,Thiên tai khí tượng – thủy văn,,,409 người chết,85.000 tỷ đồng,"Để ứng phó hiệu quả với bão, TS Phong cho rằng cần tăng cường giám sát sớm bằng cách dùng tổng hợp sản phẩm JTWC, JMA, Digital Typhoon, VNDMS, các mô hình dự báo hạn dài để theo dõi sự hình thành và quỹ đạo bão sớm, giúp xây dựng kế hoạch ứng phó sớm và kịp thời",https://vnexpress.net/vi-sao-bien-dong-nhieu-bao-nhat-trong-30-nam-qua-4986715.html,2025-12-06T13:31:25.261932
2025-10-22,"Bão, áp thấp nhiệt đới","Biển Đông, Hoàng Sa",Áp thấp nhiệt đới xuất hiện gần Biển Đông,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,241 người chết,53.800 tỷ đồng,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 16h hôm nay, áp thấp nhiệt đới trên vùng biển Đài Loan, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9 và đang theo hướng tây nam với tốc độ 20-25 km/h",https://vnexpress.net/ap-thap-nhiet-doi-xuat-hien-gan-bien-dong-4954588.html,2025-12-06T13:31:26.827190
2025-08-29,"Bão, áp thấp nhiệt đới","Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị, Biển Đông, Hoàng Sa",Hôm nay áp thấp nhiệt đới có khả năng mạnh lên thành bão,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 7, giật cấp 9",,6 người chết,,"Trung tâm Dự báo Khí tượng Thủy văn quốc gia cho biết lúc 13h hôm nay, áp thấp nhiệt đới trên vùng biển quần đảo Hoàng Sa, cách TP Huế 450 km, sức gió mạnh nhất 61 km/h, cấp 7, giật cấp 9",https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-co-kha-nang-manh-len-thanh-bao-4932852.html,2025-12-06T13:31:28.217240
2025-11-07,"Bão, áp thấp nhiệt đới","Thanh Hóa, Quảng Trị, Đà Nẵng, Quảng Ngãi, Khánh Hòa, Gia Lai, Lâm Đồng, Biển Đông",Bão Kalmaegi suy yếu thành áp thấp nhiệt đới,VnExpress,Thiên tai khí tượng – thủy văn,"cấp 6, giật cấp 8",354 mm,,,"Theo Trung tâm Dự báo Khí tượng Thủy văn quốc gia lúc 1h hôm nay, khi ở phía tây Quảng Ngãi - Gia Lai, bão đã giảm cấp còn cấp 6, giật cấp 8",https://vnexpress.net/bao-kalmaegi-suy-yeu-thanh-ap-thap-nhiet-doi-4960982.html,2025-12-06T13:31:29.504914
